"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","skew_percentile","shannon_percentile","simpson_percentile","skew_range","simpson_range","nsamples","skew_sd","skew_mean","simpson_sd","simpson_mean"
-99,"observed","mcdb","1001",TRUE,5,66,"7599",1.0311339791244,0.59815690079575,0.290174471992654,95.2134540750323,0.291073738680466,0.420439844760673,2.1466252583998,0.682277318640955,3092,0.443051086831497,1.0311339791244,0.092417867234696,0.671400290093692
-99,"observed","mcdb","1002",TRUE,8,96,"716644",1.59468157698932,0.855094858036557,0.434895833333333,93.3099473816086,0.0501127536958156,0.175394637935355,2.84034906571145,0.658637152777778,3991,0.523732388970477,1.59468157698932,0.0644710812547415,0.775340001113617
-99,"observed","mcdb","1003",TRUE,3,17,"24",0.130129494729197,0.808269958000182,0.491349480968858,37.5,25,25,0.769800358919502,0.449826989619377,24,0.300035261979432,0.130129494729197,0.11567475691039,0.529411764705882
-99,"observed","mcdb","1004",TRUE,1,5,"1",NA,0,0,0,0,0,-Inf,0,1,-Inf,-Inf,-Inf,0
-99,"observed","mcdb","1005",TRUE,5,63,"6351",1.0398054570898,0.586835639698681,0.279163517258755,96.0013440860215,0.100806451612903,0.168010752688172,2.1466252583998,0.568405139833711,2976,0.445801041811086,1.0398054570898,0.0890570943546675,0.672595681044222
-99,"observed","mcdb","1006",TRUE,5,39,"1014",0.781615747061528,1.18214324910888,0.61275476660092,73.74749498998,19.438877755511,18.6372745490982,2.1466252583998,0.607495069033531,998,0.456760286948612,0.781615747061528,0.0908731220448101,0.676818462697914
-99,"observed","mcdb","1007",TRUE,10,62,"79725",1.96219896906286,1.45729782200125,0.63891779396462,94.4387493593029,0.97385955920041,1.33264992311635,4.10220915491274,0.554110301768991,3902,0.600728438509159,1.96219896906286,0.0535362254739225,0.814972284017748
-99,"observed","mcdb","1008",TRUE,16,464,"1702770134701988",0.601289276621697,2.34058599791839,0.885116304994055,15.9,37.5,51.05,3.4755226604496,0.404568593935791,4000,0.593032707000476,1.18454232050175,0.029333213324664,0.885116304994055
-99,"observed","mcdb","1009",TRUE,19,227,"417385482513",2.3232840016771,2.15624211668483,0.821828484930816,90.825,2.3,2.6,4.01533795041898,0.294591395136719,4000,0.641455013317355,2.3232840016771,0.0289563808098547,0.890667303848318
-99,"observed","mcdb","1010",TRUE,21,195,"71009378365",3.04118899924324,2.11642522497927,0.790900723208416,97.55,0.9,0.55,4.29317832952913,0.27750164365549,4000,0.664608212128602,3.04118899924324,0.0278720521294144,0.897109638395792
-99,"observed","mcdb","1011",TRUE,15,128,"136079959",1.40436172874392,1.8288792970861,0.7845458984375,60.425,0.975,3.925,4.06552779290383,0.5068359375,4000,0.635126808939541,1.40436172874392,0.038578479103572,0.864955657958984
-99,"observed","mcdb","1012",TRUE,19,363,"398885915040228",1.38184149243912,2.27650053608345,0.862600459895727,56.575,5.675,10.425,4.02718076048038,0.277227572494289,4000,0.608037091196682,1.38184149243912,0.0252463725271172,0.894075127685571
-99,"observed","mcdb","1013",TRUE,21,1360,"14093590611163174222001538",3.64793768879088,1.24267453653953,0.524683174740485,99.95,0,0,3.9320316734765,0.312670847750865,4000,0.613269967280555,3.64793768879088,0.020178481794462,0.90649828125
-99,"observed","mcdb","1014",TRUE,19,1826,"135073397527730212720621980",3.2663174700528,1.47205683395003,0.61896555654061,99.9,0,0,3.64108670711364,0.203281312044954,4000,0.592472005995719,3.2663174700528,0.0202709235653741,0.898789948702507
-99,"observed","mcdb","1015",TRUE,16,2045,"2429763657897987629383882",2.94436865453812,1.31787149664194,0.565519335728505,99.875,0,0,3.45104225584514,0.306404672377616,4000,0.576134702391289,2.94436865453812,0.0257770225021061,0.88133823996748
-99,"observed","mcdb","1016",TRUE,13,1824,"561247551690887108885",2.62469582744444,1.35089618249504,0.571532827408433,99.775,0,0,3.29889236212279,0.315024815327793,4000,0.551450239275745,2.62469582744444,0.0334432632742842,0.856771995650104
-99,"observed","mcdb","1017",TRUE,20,2009,"4200331913177938962368347478",3.03567723674015,1.58962664909919,0.67468963085726,99.325,0,0,4.00347188744555,0.218088289110154,4000,0.602312051099713,3.03567723674015,0.0201447926832341,0.903201761560286
-99,"observed","mcdb","1018",TRUE,36,2028,"1496292091053117332492619743888181486",4.45976008740841,1.65797307778587,0.685773918591397,99.975,0,0,4.36229543462106,0.0830824084124039,4000,0.631956707311752,4.45976008740841,0.0102272257646017,0.942884987516971
-99,"observed","mcdb","1019",TRUE,21,2074,"42060436565498119352824388882",3.5166731639172,1.3826540362223,0.59617721916849,99.925,0,0,4.11434181269473,0.220995304867445,4000,0.606423285166477,3.5166731639172,0.0191788569195517,0.907895202716463
-99,"observed","mcdb","1020",TRUE,19,2054,"1038438178746281286228875170",2.88640168879015,1.64731586631305,0.706202256693426,99.375,0,0,3.61385210317451,0.19440680971131,4000,0.582546212321772,2.88640168879015,0.0204780784150674,0.898747046753242
-99,"observed","mcdb","1021",TRUE,17,83,"1466126",0.575425321164829,2.38606714463725,0.888953403977355,7.48810418231906,38.4172301527673,55.4971199599299,4.32688938659451,0.451154013644941,3993,0.697613099814195,1.50873027794545,0.0407270334689182,0.888953403977355
-99,"observed","mcdb","1022",TRUE,13,248,"75077579802",1.34363290622263,2.01745052698062,0.826612903225806,69.375,14.875,18.55,3.40967109852216,0.371910770031217,4000,0.586699170108288,1.34363290622263,0.0390610885072711,0.852134316467222
-99,"observed","mcdb","1023",TRUE,5,22,"119",0.356157032094392,1.27544886975232,0.669421487603306,42.0168067226891,26.0504201680672,29.4117647058824,2.1466252583998,0.475206611570248,119,0.481654805853022,0.425441404902244,0.0876533706862231,0.687339398569345
-99,"observed","mcdb","1024",TRUE,12,56,"42333",2.01118694599466,1.54754339131406,0.663265306122449,88.3647798742138,0.707547169811321,1.12683438155136,4.33583718815969,0.535714285714286,3816,0.642170063422883,2.01118694599466,0.0511001280623957,0.83898722617978
-99,"observed","mcdb","1025",TRUE,13,17,"5",1.60227808052114,2.47624713298303,0.906574394463668,20,60,60,2.07711720942768,0.0415224913494809,5,0.799750745294444,1.85273170376228,0.015931992295116,0.906574394463668
-99,"observed","mcdb","1026",TRUE,31,40,"30",4.92552711651132,3.15984656518529,0.92875,93.3333333333333,3.33333333333333,3.33333333333333,4.16100702756552,0.045,30,1.06212079824382,4.92552711651132,0.0102308132731413,0.950416666666667
-99,"observed","mcdb","1027",TRUE,8,13,"7",1.08406267380564,1.88487133357816,0.816568047337278,42.8571428571429,28.5714285714286,28.5714285714286,2.27882045571188,0.118343195266272,7,0.773871961524191,1.08406267380564,0.0402565710897401,0.819949281487743
-99,"observed","mcdb","1028",TRUE,8,15,"15",1.01896352566609,1.80189240065887,0.791111111111111,53.3333333333333,20,26.6666666666667,3.71231060122937,0.186666666666667,15,0.92912356000319,1.01896352566609,0.0501557831831355,0.810074074074074
-99,"observed","mcdb","1029",TRUE,6,251,"12587315",0.444668052849667,1.29261296917181,0.67744956429263,44.9,15.925,23.3,2.63817078463311,0.631069348105586,4000,0.469763120111108,0.505306137803141,0.0775239000636535,0.715337700988873
-99,"observed","mcdb","1030",TRUE,6,296,"28336460",0.567389925531359,1.29395181049849,0.675766983199416,57.2643160790197,15.7289322330583,21.8054513628407,2.65845278452232,0.590531409788167,3999,0.463617049136228,0.567389925531359,0.073354113218227,0.7180067421439
-99,"observed","mcdb","1031",TRUE,6,302,"31281650",0.448262105144823,1.21024132435824,0.657295732643305,45.525,9.725,17.925,2.58578764677903,0.55727818955309,4000,0.469182764790158,0.494628600979743,0.0770067254377731,0.715629106179554
-99,"observed","mcdb","1032",TRUE,6,315,"38504936",0.179932840625471,1.26721976913726,0.686460065507684,24.2810702675669,14.7536884221055,27.9569892473118,2.6968949929294,0.629962207105064,3999,0.464066612924437,0.514512922685931,0.076669244126368,0.712184707804565
-99,"observed","mcdb","1033",TRUE,6,315,"38504936",0.292801585524479,1.25699328664349,0.675474930713026,33.1,12.975,22.3,2.6580977737697,0.747654320987654,4000,0.461773163459676,0.501284677196494,0.0761560185532389,0.716324192491812
-99,"observed","mcdb","1036",TRUE,6,6,"1",NA,1.79175946922805,0.833333333333333,0,0,0,-Inf,0,1,-Inf,-Inf,-Inf,0.833333333333333
-99,"observed","mcdb","1037",TRUE,4,12,"15",0.75,1.242453324894,0.666666666666667,80,53.3333333333333,46.6666666666667,1.28033008588991,0.333333333333333,15,0.39128686023908,0.75,0.0899898746672202,0.666666666666667
-99,"observed","mcdb","1038",TRUE,4,40,"478",0.320461139372989,0.843473522396311,0.5025,51.255230125523,8.36820083682008,13.3891213389121,1.5,0.6075,478,0.386390109242145,0.320461139372989,0.104751344183591,0.612196652719665
-99,"observed","mcdb","1039",TRUE,3,20,"33",0.234629309769847,0.746032664714785,0.445,48.4848484848485,18.1818181818182,18.1818181818182,0.769800358919502,0.48,33,0.291562009107108,0.234629309769847,0.11842719282327,0.525
-99,"observed","mcdb","1155",TRUE,5,85,"20282",0.317608397674805,1.24636522531405,0.667404844290657,43.0701270016565,33.2965212589729,38.5698509110988,2.1466252583998,0.623391003460208,3622,0.441669827932841,0.392548911778661,0.0916819166760257,0.669365794195029
-99,"observed","mcdb","1156",TRUE,5,68,"8529",0.599083959943628,1.00742504102392,0.554065743944637,63.4741784037559,7.69953051643192,10.4538341158059,2.1466252583998,0.607698961937716,3195,0.44567151513426,0.599083959943628,0.09222994772542,0.671328470631556
-99,"observed","mcdb","1157",TRUE,6,88,"77695",-0.206313381006386,1.44190894659082,0.744834710743802,6.47058823529412,37.4424552429668,55.2429667519182,2.64504190385862,0.619834710743802,3910,0.47359462262327,0.520479231935495,0.0782666892100049,0.744834710743802
-99,"observed","mcdb","1158",TRUE,7,154,"4767088",1.59711927991007,0.854325629459204,0.371732163939956,99.6747560670503,0.275206404803603,0.200150112584438,2.95305800844636,0.584499915668747,3997,0.494461942813229,1.59711927991007,0.0717052283673335,0.748375689761924
-99,"observed","mcdb","1159",TRUE,7,204,"24222679",0.0141978150005716,1.47780548236544,0.75076893502499,11.6029007251813,22.7806951737934,40.4851212803201,3.04420068492372,0.548010380622837,3999,0.498949194773189,0.616961560903998,0.0683222810258956,0.75076893502499
-99,"observed","mcdb","1160",TRUE,9,88,"721125",0.804676914420247,1.65356288495737,0.763688016528926,47.8446115288221,12.3809523809524,20.6516290726817,3.11088987321126,0.529442148760331,3990,0.556100478979095,0.845573122852914,0.056655612188129,0.799330777874438
-99,"observed","mcdb","1161",TRUE,2,184,"92",0,0.579548313605678,0.390772684310019,0,52.1739130434783,52.1739130434783,0,0.489189508506616,92,0,0,0.148350164830496,0.390772684310019
-99,"observed","mcdb","1162",TRUE,1,68,"1",NA,0,0,0,0,0,-Inf,0,1,-Inf,-Inf,-Inf,0
-99,"observed","mcdb","1163",TRUE,4,32,"249",0.409026575548335,0.996510944481206,0.55859375,56.2248995983936,20.8835341365462,22.4899598393574,1.5,0.57421875,249,0.38995669837115,0.409026575548335,0.10376645164367,0.61550891064257
-99,"observed","mcdb","1164",TRUE,3,38,"120",0.372460274429816,0.455219660440243,0.234072022160665,79.1666666666667,3.33333333333333,3.33333333333333,0.769800358919502,0.565096952908587,120,0.278654951139925,0.372460274429816,0.12372693315306,0.513157894736842
-99,"observed","mcdb","1165",TRUE,5,148,"177918",0.869685824057849,0.945882396749085,0.4995434623813,82.4987354577643,4.77996965098634,5.38694992412747,2.10887851385439,0.705989773557341,3954,0.431229541945637,0.869685824057849,0.0903841562486531,0.668576157772011
-99,"observed","mcdb","1166",TRUE,7,143,"3114593",1.08260781423878,1.19391558818841,0.616949484082351,79.7047047047047,2.82782782782783,4.72972972972973,2.90425220870695,0.632695975353318,3996,0.5036931504934,1.08260781423878,0.0687723779308165,0.751682608325965
-99,"observed","mcdb","1167",TRUE,8,55,"22122",-0.093928862355603,1.90826623636939,0.837685950413223,5.8535257282875,82.9839368363735,86.5777293765314,3.14639880725074,0.51900826446281,3673,0.546859776225037,0.777222090765876,0.0646993289501761,0.837685950413223
-99,"observed","mcdb","1168",TRUE,10,51,"19466",0.956079511354449,1.73373789122603,0.774317570165321,47.371333702269,11.6768123962369,18.4836745987825,3.75218064564135,0.490580545943868,3614,0.608413450652087,1.00245331593422,0.0581500911547859,0.814766658858168
-99,"observed","mcdb","1169",TRUE,8,75,"150042",0.230292908736934,1.76063505895042,0.802133333333333,17.227422210979,49.6078927396914,58.1077662534784,3.36098041549832,0.627911111111111,3953,0.546471274454266,0.755896519242091,0.064928586647175,0.802133333333333
-99,"observed","mcdb","1170",TRUE,11,94,"2635689",1.05726439493636,1.5937133792381,0.7428700769579,53.6786786786787,1.82682682682683,6.20620620620621,3.96674414553152,0.47012222725215,3996,0.583876388597291,1.05726439493636,0.04868125328241,0.827881695638599
-99,"observed","mcdb","1171",TRUE,3,190,"3008",-0.322219265150886,0.945448377690995,0.581883656509695,11.3147045350435,64.4067796610169,68.2088868529546,0.769800358919505,0.635457063711911,2183,0.269142026212822,0.113402877036672,0.129703916801011,0.581883656509695
-99,"observed","mcdb","1172",TRUE,5,134,"120362",0.165850859295208,1.16771520095267,0.647360213856093,28.284625158831,21.3977128335451,31.0800508259212,2.12152738936643,0.711405658275785,3935,0.437252757785475,0.393321350626565,0.0928903008571028,0.667725624942858
-99,"observed","mcdb","1173",TRUE,6,30,"532",0.782499693893275,1.30781528851378,0.657777777777778,64.5951035781544,12.8060263653484,15.0659133709981,2.61082763487954,0.533333333333333,531,0.512102151036673,0.782499693893275,0.0797330387233705,0.726001255492781
-99,"observed","mcdb","1174",TRUE,5,58,"4616",0.285606008461992,1.16531832358283,0.631985731272295,39.1065543756866,18.8575613328451,23.8008055657268,2.1466252583998,0.667063020214031,2731,0.446851477183096,0.398679084791502,0.09188481134299,0.672919503076275
-99,"observed","mcdb","1175",TRUE,5,57,"4319",0.818884947796372,1.2359454383543,0.637119113573407,77.8663629460896,29.6886864085042,26.3857251328778,2.1466252583998,0.665435518621114,2634,0.441524134638776,0.818884947796372,0.0919387950143815,0.672649700287432
-99,"observed","mcdb","1176",TRUE,5,72,"10642",0.18928296046877,1.20966018604695,0.663966049382716,30.6811332127788,25.7685352622062,35.8951175406872,2.1466252583998,0.640432098765432,3318,0.437047725548134,0.392271342359404,0.0918330258687269,0.671813606478691
-99,"observed","mcdb","1177",TRUE,5,83,"18487",0.146986513263916,1.29609123677479,0.690375961678037,28.0774550484094,41.1065006915629,47.6348547717842,2.11961961372572,0.640150965307011,3615,0.441796028578581,0.388278872857374,0.0898658504185758,0.690375961678037
-99,"observed","mcdb","1178",TRUE,4,134,"17083",0.639392723527568,1.26374240888557,0.682000445533526,80.2374893977947,80.8877579869946,75.657336726039,1.5,0.636110492314547,3537,0.372278977364877,0.639392723527568,0.10568225733439,0.682000445533526
-99,"observed","mcdb","1179",TRUE,4,85,"4410",0.397432337789721,0.932374813807686,0.537024221453287,58.434650455927,17.3252279635258,20.3267477203647,1.5,0.658823529411765,2632,0.379098552775483,0.397432337789721,0.106697619779983,0.608061232002188
-99,"observed","mcdb","1180",TRUE,21,78,"533523",2.74057206435936,2.11771270327141,0.788625904010519,85.9794331577627,1.00326059694006,1.70554301479809,4.77405346868348,0.418803418803419,3987,0.77151115404407,2.74057206435936,0.0368012172601338,0.891316073755155
-99,"observed","mcdb","1181",TRUE,10,54,"29292",1.49291336196009,1.56285320873152,0.702331961591221,77.6266666666667,3.28,5.2,4.150489428971,0.537037037037037,3750,0.609388083705772,1.49291336196009,0.0587714831508054,0.812822496570645
-99,"observed","mcdb","1184",TRUE,6,26,"282",0.747563436537891,1.28247467873077,0.644970414201183,60.6382978723404,9.9290780141844,12.7659574468085,2.72165526975909,0.49112426035503,282,0.526218945128091,0.747563436537891,0.0789781530361566,0.728649964329179
-99,"observed","mcdb","1185",TRUE,2,8,"4",0,0.562335144618808,0.375,0,25,25,0,0.28125,4,0,0,0.126295371385231,0.390625
-99,"observed","mcdb","1186",TRUE,7,12,"7",1.43671947706331,1.6987829895138,0.763888888888889,71.4285714285714,14.2857142857143,14.2857142857143,2.37268494059984,0.138888888888889,7,0.800897019490265,1.43671947706331,0.0472455591261534,0.795634920634921
-99,"observed","mcdb","1187",TRUE,12,21,"30",1.62103744042718,2.14939165784062,0.839002267573696,56.6666666666667,16.6666666666667,16.6666666666667,3.65960186417216,0.163265306122449,30,0.822985439976314,1.62103744042718,0.0371185969093564,0.863189720332577
-99,"observed","mcdb","1188",TRUE,3,25,"52",0.381816869592434,0.443306691468087,0.2176,82.6923076923077,1.92307692307692,1.92307692307692,0.769800358919502,0.5152,52,0.284328566333863,0.381816869592434,0.120414447703281,0.52
-99,"observed","mcdb","1189",TRUE,4,14,"23",0,1.23965939205439,0.683673469387755,13.0434782608696,56.5217391304348,56.5217391304348,1.5,0.377551020408163,23,0.436312272799816,0.266198464226035,0.0936165184543874,0.683673469387755
-99,"observed","mcdb","1190",TRUE,4,27,"150",0.698173189471511,0.896379276572986,0.469135802469136,83.3333333333333,10,8.66666666666667,1.5,0.54320987654321,150,0.400732371013829,0.698173189471511,0.102824212693138,0.617814357567444
-99,"observed","mcdb","1191",TRUE,24,29,"7",3.03515426165951,3.062433267556,0.944114149821641,42.8571428571429,28.5714285714286,28.5714285714286,2.95607907403682,0.0237812128418549,7,1.02734511649629,3.03515426165951,0.00808960822136275,0.944793613045694
-99,"observed","mcdb","1192",TRUE,15,20,"7",2.85644383361631,2.52405807738947,0.895,71.4285714285714,14.2857142857143,14.2857142857143,2.49522514793918,0.05,7,0.862297503508947,2.85644383361631,0.0170084012854152,0.906428571428571
-99,"observed","mcdb","1193",TRUE,11,15,"5",2.08858198476361,2.24595208072891,0.871111111111111,60,20,20,1.97549056689322,0.0533333333333333,5,0.759866678716206,2.08858198476361,0.0204637589923935,0.876444444444444
-99,"observed","mcdb","1194",TRUE,3,13,"14",0.384900179459751,0.535961049709069,0.272189349112426,71.4285714285714,0,0,0.769800358919502,0.390532544378698,14,0.305271216861608,0.384900179459751,0.11069992268562,0.538461538461538
-99,"observed","mcdb","1195",TRUE,5,25,"192",-0.130400871253793,1.33243141107488,0.7072,11.9791666666667,40.625,48.9583333333333,2.1466252583998,0.512,192,0.46933582825231,0.417214248132787,0.0886624707374969,0.7072
-99,"observed","mcdb","1196",TRUE,16,22,"11",3.08803390812451,2.53936739988158,0.888429752066116,81.8181818181818,9.09090909090909,9.09090909090909,2.8125,0.0619834710743802,11,0.849493231211347,3.08803390812451,0.0179947345069426,0.908339594290008
-99,"observed","mcdb","1197",TRUE,14,149,"537973241",2.27467677527978,1.62995039689418,0.69186072699428,94.475,0.275,0.525,3.6880170173195,0.379172109364443,4000,0.622741006963403,2.27467677527978,0.0394202647891803,0.859396401063015
-99,"observed","mcdb","1198",TRUE,23,150,"1901740434",2.21483456547614,2.53375608560716,0.885066666666667,76.725,20.025,21.625,4.14999489073322,0.252177777777778,4000,0.716306385701761,2.21483456547614,0.0293407955613262,0.901415622222222
-99,"observed","mcdb","1199",TRUE,9,65,"88252",0.988313097736543,1.74524278319199,0.775384615384615,58.6850856996674,24.4052187260169,25.530826298286,4.0474854268135,0.655147928994083,3909,0.572906467565638,0.988313097736543,0.0612091999585037,0.798129275333361
-99,"observed","mcdb","1200",TRUE,23,142,"883015776",1.81047073556243,2.64327225345862,0.898928783971434,58.2,38.95,35.35,4.57615915492578,0.250644713350526,4000,0.707172080536015,1.81047073556243,0.0290285282682628,0.901822728625273
-99,"observed","mcdb","1201",TRUE,20,224,"441048403698",2.770364287002,2.24255101999593,0.825892857142857,96.1,3.025,2.2,4.34658189271605,0.222855548469388,4000,0.65528227958397,2.770364287002,0.0262909812929525,0.895815210459184
-99,"observed","mcdb","1202",TRUE,12,235,"19991516353",1.80174449850147,1.39751049166992,0.658397464916252,89.525,0.075,0.325,3.38988179935078,0.412132186509733,4000,0.573561479062347,1.80174449850147,0.0403514811732428,0.842736885468538
-99,"observed","mcdb","1203",TRUE,7,30,"618",1.15619928108691,1.43705553876067,0.677777777777778,76.1750405186386,11.3452188006483,11.8314424635332,3.05656721853143,0.502222222222222,617,0.554334446719745,1.15619928108691,0.0721704913163657,0.758883486403746
-99,"observed","mcdb","1204",TRUE,7,435,"2052964721",1.55557623860186,0.599583385247974,0.291325142026688,99.075,0,0.025,2.97176576000712,0.576646848989298,4000,0.482533508900286,1.55557623860186,0.0651866145225196,0.749804970273484
-99,"observed","mcdb","1205",TRUE,5,129,"103664",1.04071397056069,0.624363010366882,0.298419566131843,97.0925784238715,0.331548074470798,0.433562866615659,2.10155323094576,0.679045730424854,3921,0.427700554064271,1.04071397056069,0.0904758505623694,0.669505223200577
-99,"observed","mcdb","1206",TRUE,15,26,"56",2.04329192003266,2.37137134699542,0.866863905325444,64.2857142857143,19.6428571428571,21.4285714285714,4.08435279510466,0.162721893491124,56,0.838914420985389,2.04329192003266,0.0327146975720262,0.884456889264582
-99,"observed","mcdb","1207",TRUE,9,29,"488",0.540922356820202,1.86258197300712,0.810939357907253,23.5655737704918,36.2704918032787,41.8032786885246,3.1800344488493,0.420927467300832,488,0.621640561077239,0.965609319326293,0.061019346179306,0.810939357907253
-99,"observed","mcdb","1208",TRUE,32,1364,"763003834707137515287705814236",2.1980819081943,2.28089777114715,0.864444750217146,84.025,0,0.1,4.39040778843933,0.138546925121043,4000,0.638687388072185,2.1980819081943,0.0125113622232023,0.935545167525219
-99,"observed","mcdb","1209",TRUE,7,23,"164",0.695732426879788,1.70069038713226,0.782608695652174,45.7317073170732,48.780487804878,50.609756097561,2.7118524267542,0.412098298676748,164,0.572554791739416,0.725603315074073,0.0702073345355091,0.782608695652174
-99,"observed","mcdb","1210",TRUE,12,64,"126560",1.54017676295852,1.93042506682929,0.7978515625,72.8564180618975,14.1045154743785,15.271435819381,3.96345051036489,0.53125,3942,0.638281143331116,1.54017676295852,0.0501291291099999,0.838867311366375
-99,"observed","mcdb","1211",TRUE,10,68,"157564",0.506604533596268,1.94257589455499,0.830017301038062,22.0621683093252,43.1640131412686,52.0849128127369,3.90645050497377,0.48961937716263,3957,0.592622045407296,0.971944537780543,0.0544057373303106,0.830017301038062
