"s0","n0","source","dat","site","singletons","n_comparisons","mean_r2","mean_r2_log","mean_cd","mean_prop_off","mean_div"
50,831,"sampled","bbs","4002",TRUE,4000,0.828013974113849,0.841806460789149,0.901569145816648,0.12156678700361,0.0535077563364531
31,444,"sampled","bbs","4003",TRUE,3998,0.783604638878398,0.8032191929289,0.882876643013848,0.133778601012218,0.0644371270860379
34,452,"sampled","bbs","4004",TRUE,4000,0.790527837934687,0.80640561363031,0.882521798049613,0.134783185840708,0.0654738736698629
34,476,"sampled","bbs","4006",TRUE,3998,0.793216502721959,0.80918237028529,0.886572350669376,0.133874184991655,0.0645659177564697
27,578,"sampled","bbs","4007",TRUE,4000,0.794440741990783,0.823835997368308,0.884586753273543,0.129163494809689,0.0589424044185609
28,541,"sampled","bbs","4009",TRUE,3996,0.788450607813086,0.815041112240803,0.881306109639421,0.132121493027223,0.0620807621945956
53,289,"sampled","bbs","4010",TRUE,3998,0.745815492615041,0.765198953730614,0.8729174280818,0.153120677986052,0.0852775185655923
45,770,"sampled","bbs","4013",TRUE,3998,0.816917036947057,0.83462739609555,0.896714616131623,0.124502835833501,0.0558144690400522
27,528,"sampled","bbs","4014",TRUE,3999,0.784226782242969,0.815535682632519,0.882287658218816,0.13094987762092,0.0610311184268543
62,428,"sampled","bbs","4015",TRUE,3998,0.786447736107977,0.796406151067185,0.884177449946607,0.144740594596364,0.0769735258133676
33,360,"sampled","bbs","4017",TRUE,4000,0.761001589919337,0.781393384306682,0.874775139634685,0.143253472222222,0.0733517352415586
40,461,"sampled","bbs","4018",TRUE,3997,0.79764193035936,0.802196870052161,0.887697226118834,0.135909958499243,0.0664884629104149
51,727,"sampled","bbs","4020",TRUE,4000,0.82678677209019,0.83033640692391,0.899966699527454,0.125225928473177,0.0571912324091416
49,539,"sampled","bbs","4022",TRUE,4000,0.808898340276197,0.811152035119478,0.892437531719991,0.134243042671614,0.0652203722633218
57,576,"sampled","bbs","4026",TRUE,3999,0.802740255591698,0.81224594059762,0.891404748860305,0.135445753799561,0.0663788381062446
40,390,"sampled","bbs","4027",TRUE,3998,0.76950626164262,0.784856073975149,0.877438897527183,0.142877207834687,0.0731405646921327
48,576,"sampled","bbs","4028",TRUE,3997,0.8094355150121,0.818352786405005,0.892183362411953,0.133109815000139,0.0635348942187609
73,561,"sampled","bbs","4029",TRUE,3999,0.807507335293057,0.80807726402139,0.895998200768339,0.139444843385534,0.0718614071470677
62,515,"sampled","bbs","4030",TRUE,3999,0.802557535276856,0.801189511790626,0.893306759324247,0.138351578185809,0.0701381807204146
48,578,"sampled","bbs","4031",TRUE,4000,0.801005799886531,0.821469540313855,0.889255822700943,0.132675173010381,0.0633178114269125
49,317,"sampled","bbs","4032",TRUE,3998,0.758003390024361,0.767664919970064,0.876610685748287,0.150719681607365,0.0825237551510704
62,374,"sampled","bbs","4033",TRUE,4000,0.777536061415847,0.798098772742597,0.882945076380034,0.145423796791444,0.077680839376733
34,235,"sampled","bbs","4034",TRUE,4000,0.725395540049968,0.746887808594654,0.861145699147755,0.155027659574468,0.0857231970742189
50,482,"sampled","bbs","4036",TRUE,4000,0.794284270230716,0.802062402102386,0.889360079850592,0.138353215767635,0.0689306916424417
56,450,"sampled","bbs","4040",TRUE,4000,0.79390289041521,0.794093666060863,0.887860374417672,0.1421,0.0730249701995079
71,462,"sampled","bbs","4043",TRUE,3999,0.791569786414556,0.800317869119282,0.888678677823606,0.144055494393079,0.07629284915732
28,90,"sampled","bbs","4049",TRUE,4000,0.570504153952138,0.66399525312202,0.819854539777689,0.168127777777778,0.106610444855387
83,499,"sampled","bbs","4050",TRUE,4000,0.810561934904506,0.815536826351807,0.89399496226834,0.14060621242485,0.0735473854621218
40,336,"sampled","bbs","4055",TRUE,3999,0.772402089218662,0.782881529965731,0.879775437673622,0.144111176603675,0.0750169400641332
33,392,"sampled","bbs","4062",TRUE,3999,0.772957837280689,0.797852054734284,0.878461840602566,0.140274226719945,0.0695292347007124
59,551,"sampled","bbs","4063",TRUE,4000,0.800918355651291,0.804588915951233,0.891820776354417,0.138121143375681,0.0694982001914509
47,316,"sampled","bbs","4077",TRUE,3998,0.752699820512518,0.766867136800447,0.874906257672407,0.150111448129128,0.0815779888784054
40,368,"sampled","bbs","4078",TRUE,3999,0.769634382703981,0.783131488391891,0.876644579660824,0.145635593681029,0.0760956652408421
43,229,"sampled","bbs","4079",TRUE,4000,0.720880165843975,0.75208084327961,0.861886833419073,0.157531659388646,0.0900929178278403
71,362,"sampled","bbs","4105",TRUE,3999,0.77834143842941,0.802585328219531,0.881219666624651,0.146529035573811,0.0798248213901094
25,621,"sampled","bbs","4106",TRUE,4000,0.788570942574088,0.821095107272037,0.881255179273936,0.129622383252818,0.0596911884015656
34,556,"sampled","bbs","4107",TRUE,3998,0.788624397543126,0.818346655325742,0.885874310261673,0.131293614433116,0.0618367749655209
32,364,"sampled","bbs","4109",TRUE,3999,0.767481978784385,0.788377215742407,0.875108753769273,0.141765523798532,0.0720388842332308
28,584,"sampled","bbs","4111",TRUE,3998,0.791650315974842,0.821926611440801,0.884558917938474,0.129607612025191,0.0599893782951937
37,717,"sampled","bbs","4112",TRUE,4000,0.820154818633303,0.835122067535369,0.896187989701999,0.123469665271967,0.0546201732043503
39,762,"sampled","bbs","4113",TRUE,3998,0.827050540525836,0.840664323472506,0.900636726735981,0.120786443090312,0.0524663725566474
38,2197,"sampled","bbs","4114",TRUE,4000,0.855574074386665,0.875794131940516,0.911616027239774,0.104764906690942,0.0395686638247488
42,721,"sampled","bbs","4115",TRUE,4000,0.815443996969714,0.834798302202385,0.896555114974876,0.123955963938974,0.0554330438284167
50,296,"sampled","bbs","4116",TRUE,3999,0.763054789153921,0.77151092054594,0.877079306744294,0.150406689510215,0.0825471255917359
66,807,"sampled","bbs","4120",TRUE,3999,0.834569501185138,0.834266962285703,0.906046264342729,0.125920885425817,0.0578209727911168
51,764,"sampled","bbs","4121",TRUE,4000,0.817679210257861,0.834827044036664,0.900167136363535,0.125347185863874,0.0566607649757208
48,350,"sampled","bbs","4125",TRUE,4000,0.768017416920179,0.78141039701719,0.877685929000943,0.146519285714286,0.0776943883593655
41,505,"sampled","bbs","4127",TRUE,3998,0.796264635048452,0.805862796863417,0.887930492818424,0.134595020282418,0.0655611398088746
43,867,"sampled","bbs","4128",TRUE,4000,0.831818874914518,0.838915294027091,0.902670524135579,0.11960092272203,0.0517164640980349
46,696,"sampled","bbs","4129",TRUE,4000,0.821147947390075,0.831742795088774,0.899473166267889,0.125250359195402,0.0565502160907368
78,518,"sampled","bbs","4131",TRUE,4000,0.809040197316052,0.811743465539723,0.895790780741586,0.141080598455598,0.0733917366503943
79,381,"sampled","bbs","4136",TRUE,3998,0.767373953528331,0.804325212773872,0.878664613019694,0.147529145150003,0.0822610616969432
44,480,"sampled","bbs","4138",TRUE,3999,0.795874283464124,0.808861710554439,0.887796818649924,0.134832666499958,0.0656151677255119
68,752,"sampled","bbs","4139",TRUE,3996,0.826636855273632,0.824357513548617,0.901498900870652,0.130313158903584,0.0625956560467137
44,368,"sampled","bbs","4141",TRUE,4000,0.783753210185663,0.783260662893484,0.884000524947384,0.143656929347826,0.0743676655346159
