"s0","n0","source","dat","site","singletons","n_comparisons","mean_r2","mean_r2_log","mean_cd","mean_prop_off","mean_div"
15,54,"sampled","fia_short","11003000020",TRUE,4000,0.489325370142461,0.581441756378181,0.788059243177942,0.17550462962963,0.111158617167316
16,38,"sampled","fia_short","11003000037",TRUE,3979,0.326739391017465,0.528832529605446,0.749616779636866,0.165196227563127,0.109401796668079
12,34,"sampled","fia_short","11003000088",TRUE,3974,0.29143892259469,0.495475938887537,0.74885247586367,0.175264217413186,0.115489338349706
19,25,"sampled","fia_short","11003000100",TRUE,55,0.376793031147581,0.562505273986734,0.64381660164704,0.0865454545454546,0.0579066429338269
14,46,"sampled","fia_short","11003000188",TRUE,3997,0.430352083374582,0.554651320341989,0.76828718631129,0.179177861657112,0.115932582595052
20,62,"sampled","fia_short","11003000253",TRUE,3999,0.514636840562939,0.616115259738805,0.792761078816466,0.17179698150344,0.110278384368396
18,54,"sampled","fia_short","11003000255",TRUE,4000,0.482433911505909,0.597510241082853,0.780790330436193,0.171842592592593,0.110239967109137
12,33,"sampled","fia_short","11003000258",TRUE,3977,0.347897739214221,0.501591954988382,0.747983162271796,0.173177589320411,0.112756857332419
18,66,"sampled","fia_short","11003000263",TRUE,3997,0.520789369651809,0.616394759013837,0.793977720260296,0.17413817939212,0.110183385578961
15,48,"sampled","fia_short","11039000021",TRUE,4000,0.473328080001966,0.581184029001028,0.779050340648239,0.175171875,0.113463069717136
21,32,"sampled","fia_short","11039000027",TRUE,1432,0.153105806645765,0.564673686642337,0.7079128640273,0.109745984636872,0.0731886497306033
19,52,"sampled","fia_short","11039000053",TRUE,4000,0.44040783724883,0.59592062295901,0.774107412487058,0.168576923076923,0.10992977033733
13,32,"sampled","fia_short","11039000084",TRUE,3923,0.301928986163988,0.496988206349573,0.736624492050847,0.170230053530461,0.112213642227431
25,39,"sampled","fia_short","11053000001",TRUE,3243,0.358215524265561,0.61370979543831,0.725229643588176,0.112044087067214,0.0756460149345177
24,51,"sampled","fia_short","11053000006",TRUE,3994,0.367549835845281,0.600058695481505,0.763263834621079,0.152400168880772,0.102527714768638
16,34,"sampled","fia_short","11053000101",TRUE,3882,0.178066191107754,0.470062688752455,0.731117346789142,0.158673515774161,0.106644118342444
37,82,"sampled","fia_short","11053000133",TRUE,3998,0.564862782023452,0.702799019133412,0.799609936900789,0.145267755829134,0.0938055976930241
17,33,"sampled","fia_short","11097000003",TRUE,3704,0.231374867990193,0.529391819870213,0.725246850154515,0.14704005497742,0.0991919174193783
23,46,"sampled","fia_short","11097000123",TRUE,3991,0.34174314590525,0.602137985025328,0.753173881607391,0.147293366596581,0.0992362184899579
46,81,"sampled","fia_short","11129000001",TRUE,3999,0.561014896400102,0.719017686423355,0.792952088775886,0.11855432994051,0.0775740233403358
30,53,"sampled","fia_short","11129000006",TRUE,3990,0.412228326816845,0.656717976434873,0.760001901081658,0.12658060244952,0.0845128328991704
14,37,"sampled","fia_short","11129000013",TRUE,3985,0.3446570031524,0.524413932642146,0.754677306041376,0.171840347248126,0.112444720290729
14,56,"sampled","fia_short","11129000027",TRUE,3996,0.527336119763195,0.614022155352948,0.792550142061417,0.177002895752896,0.11223273474569
13,48,"sampled","fia_short","11129000032",TRUE,3999,0.43670225648611,0.573044261344189,0.777865801719142,0.178627990330916,0.114727650456583
18,49,"sampled","fia_short","11129000035",TRUE,3999,0.40658364152703,0.590843631567133,0.775535147970952,0.167899117636552,0.109479289707793
22,42,"sampled","fia_short","11129000036",TRUE,3960,0.337967023124795,0.601683290691347,0.74634141523909,0.140512265512266,0.0942986504223959
19,34,"sampled","fia_short","11129000039",TRUE,3533,0.212324798340554,0.557206353016597,0.725126032387067,0.134921163483791,0.0906760178974725
