"s0","n0","source","dat","site","singletons","n_comparisons","mean_r2","mean_r2_log","mean_cd","mean_prop_off","mean_div"
9,31,"sampled","fia_small","11003000021",TRUE,3962,0.389846258024668,0.534568557537947,0.751634846048679,0.177289085017342,0.11409942736079
16,37,"sampled","fia_small","11003000031",TRUE,3974,0.260939625978762,0.510696877817475,0.748961194282819,0.163297922985895,0.107731886042968
5,14,"sampled","fia_small","11003000057",TRUE,253,0.141004954846851,0.33698047958252,0.679311022208176,0.181253529079616,0.116681324191609
8,57,"sampled","fia_small","11003000085",TRUE,3999,0.548239603585215,0.623471403981589,0.787725907794702,0.180119591301334,0.113124115225274
9,32,"sampled","fia_small","11003000093",TRUE,3983,0.420253599838377,0.539276060300069,0.757349660548459,0.18243158423299,0.118224056553173
8,16,"sampled","fia_small","11003000097",TRUE,231,-0.099579082533628,0.275168794731595,0.609255839773388,0.169372294372294,0.11470765378575
20,43,"sampled","fia_small","11003000184",TRUE,3988,0.31686624455527,0.556580548430528,0.753025459789914,0.156037881085116,0.104233479409478
5,26,"sampled","fia_small","11003000199",TRUE,3694,0.513257970914692,0.547621248845415,0.761523228062561,0.184373828661863,0.118739405231075
11,16,"sampled","fia_small","11003000221",TRUE,21,0.036529273111194,0.428328611027069,0.609310714570641,0.116071428571429,0.0746715608126391
14,38,"sampled","fia_small","11039000013",TRUE,3986,0.338637795713446,0.518900767715492,0.750571801802897,0.174221617767449,0.114613850755464
9,28,"sampled","fia_small","11039000054",TRUE,3887,0.312832539873832,0.489644958756189,0.743236652145134,0.17926972692859,0.117255430993331
11,31,"sampled","fia_small","11039000078",TRUE,3953,0.274971707954851,0.480783141289119,0.735301684744314,0.178410843540635,0.118504387723872
6,16,"sampled","fia_small","11039000087",TRUE,594,-0.080090554713498,0.33373097322691,0.679671758556832,0.179819023569024,0.118603849539733
6,18,"sampled","fia_small","11039000088",TRUE,1512,0.336336412044803,0.441675845405282,0.690070025058279,0.183495002939447,0.120436903508575
9,54,"sampled","fia_small","11039000091",TRUE,3999,0.572937911295208,0.631611480834888,0.797014506239538,0.178669667416854,0.110818238532418
9,23,"sampled","fia_small","11039000097",TRUE,3097,0.237521193645359,0.443119983746273,0.715630533609434,0.172186267215117,0.111644411473695
10,11,"sampled","fia_small","11039000169",TRUE,1,NA,NA,NA,NA,NA
12,28,"sampled","fia_small","11053000018",TRUE,3720,0.321876766541701,0.483071873899472,0.723333111011758,0.168519585253456,0.111964879822847
10,74,"sampled","fia_small","11053000041",TRUE,3998,0.606670407381453,0.654628720333124,0.809169059249717,0.174384489542068,0.106027746913372
18,24,"sampled","fia_small","11053000078",TRUE,55,0.342599524658348,0.534463415402318,0.641701197019212,0.0901515151515151,0.0597298606739764
6,27,"sampled","fia_small","11053000099",TRUE,3875,0.504305093033864,0.548298840981048,0.756914793986669,0.183942652329749,0.118342164476883
7,21,"sampled","fia_small","11097000026",TRUE,2819,0.397299561882722,0.499046833133295,0.711605033603721,0.180729404212909,0.116985842603947
7,36,"sampled","fia_small","11097000031",TRUE,3992,0.51560986722978,0.583784698763341,0.768492117871542,0.182142061901581,0.114711737605986
9,35,"sampled","fia_small","11097000035",TRUE,3996,0.466873282061679,0.554840858474735,0.763962794203032,0.181810381810382,0.117078713275911
18,42,"sampled","fia_small","11097000069",TRUE,3986,0.346410523774129,0.55705494898885,0.754977450296882,0.164271378395814,0.109535863980998
11,37,"sampled","fia_small","11097000082",TRUE,3998,0.395624646469915,0.537255151068717,0.76749211239301,0.178352689858443,0.114972423032172
6,21,"sampled","fia_small","11097000110",TRUE,2895,0.436351951230692,0.5039327860524,0.727386687705602,0.182317624804671,0.116503601757319
10,42,"sampled","fia_small","11097000117",TRUE,3997,0.485654836904669,0.580287825920255,0.777052563468299,0.179878956836675,0.114342005384336
6,26,"sampled","fia_small","11097000142",TRUE,3810,0.488650292812279,0.538134927851759,0.751236366085402,0.183626085200888,0.118333931175754
