"s0","n0","source","dat","site","singletons","n_comparisons","mean_r2","mean_r2_log","mean_cd","mean_prop_off","mean_div"
5,66,"sampled","mcdb","1001",TRUE,3999,0.620278224459133,0.607602932403608,0.801114036078316,0.183708805989376,0.118427515795437
8,96,"sampled","mcdb","1002",TRUE,3998,0.6353189047621,0.665933449693647,0.817000120157177,0.17623916124729,0.108514718172194
3,17,"sampled","mcdb","1003",TRUE,276,0.581219230603206,0.504591141636372,0.781154066339003,0.185848252344416,0.117577166455127
1,5,"sampled","mcdb","1004",TRUE,1,NA,NA,NA,NA,NA
5,63,"sampled","mcdb","1005",TRUE,3998,0.628734803772188,0.602084942079669,0.800379391146502,0.182555563496034,0.117434978277545
5,39,"sampled","mcdb","1006",TRUE,3979,0.588242624407994,0.591471468039917,0.784357315681063,0.184268692687894,0.117450939439346
10,62,"sampled","mcdb","1007",TRUE,3999,0.571055923939472,0.641957646975142,0.799181921636274,0.175850414216457,0.107564485815555
16,464,"sampled","mcdb","1008",TRUE,4000,0.754246400597881,0.788545556033717,0.864775143347267,0.142267780172414,0.0713163069303512
19,227,"sampled","mcdb","1009",TRUE,3997,0.739082051574219,0.762929372024233,0.858185188311735,0.150383712894803,0.0797455843546625
21,195,"sampled","mcdb","1010",TRUE,3998,0.729588112475729,0.747991275003045,0.857143382615139,0.153297161401213,0.0823043022038339
15,128,"sampled","mcdb","1011",TRUE,3999,0.678244124023944,0.719467429074773,0.835729797784342,0.161692766941735,0.0915224433913505
19,363,"sampled","mcdb","1012",TRUE,3999,0.764192507561616,0.79456931182314,0.869099864050754,0.140445579714488,0.0690733680960458
21,1360,"sampled","mcdb","1013",TRUE,3999,0.806890215247805,0.832169786108177,0.884870114301017,0.124730079578718,0.0550589237225044
19,1826,"sampled","mcdb","1014",TRUE,4000,0.80285207068709,0.824490235232545,0.885319524495161,0.123986308871851,0.0545581400379484
16,2045,"sampled","mcdb","1015",TRUE,3999,0.781981076662828,0.803921130326229,0.87399798964835,0.131720582957475,0.0611308332316596
