"s0","n0","source","dat","site","singletons","n_comparisons","mean_r2","mean_r2_log","mean_cd","mean_prop_off","mean_div"
19,18021,"sampled","portal_plants","1983_summer",TRUE,3999,0.808340558065697,0.820894142759627,0.886885046908992,0.122953273138772,0.0533837617404999
17,3950,"sampled","portal_plants","1984_summer",TRUE,4000,0.799330440770019,0.812900320221293,0.88234374045512,0.127611962025316,0.0573358250579957
18,3219,"sampled","portal_plants","1985_summer",TRUE,4000,0.80463774278963,0.821146908979076,0.884210694166916,0.125817567567568,0.0560281359993466
17,7311,"sampled","portal_plants","1986_summer",TRUE,4000,0.79635884534775,0.808395027364688,0.881694052144089,0.126657741758993,0.0571744665209607
17,12070,"sampled","portal_plants","1988_summer",TRUE,3998,0.799827547892104,0.80662980549198,0.884645901279725,0.125346185934724,0.0558219191120039
35,10749,"sampled","portal_plants","1991_summer",TRUE,3998,0.857544924008543,0.882115013727699,0.912717603762147,0.0985789433929915,0.0347304689433292
60,21411,"sampled","portal_plants","1993_summer",TRUE,4000,0.903966707643005,0.917714107123363,0.937059649592929,0.0782522651907898,0.0224615410166383
24,828,"sampled","portal_plants","1994_summer",TRUE,3999,0.795826213983537,0.827552285373455,0.886734795681472,0.126406299642543,0.0565103111515866
29,2403,"sampled","portal_plants","1995_summer",TRUE,3999,0.83701613550208,0.862574911420034,0.90101517984315,0.110174235194254,0.0434021093923359
20,1350,"sampled","portal_plants","1996_summer",TRUE,3998,0.805098528393594,0.824413829132227,0.887295676494191,0.124811294536157,0.0549851861234484
51,5541,"sampled","portal_plants","1997_summer",TRUE,3999,0.887877534790151,0.901813005133592,0.926948646734888,0.0896037490693735,0.0291304922242686
50,3752,"sampled","portal_plants","1998_summer",TRUE,4000,0.878784289987872,0.898636766711638,0.923282015485213,0.0931470549040512,0.0312879213597096
26,1087,"sampled","portal_plants","1999_summer",TRUE,3999,0.811754184813102,0.83933947548806,0.888384500742697,0.122269757871851,0.0528859231935709
28,1066,"sampled","portal_plants","2000_summer",TRUE,3999,0.814942263020759,0.844479343132566,0.894748845078298,0.11942221014916,0.0507585000124019
40,2542,"sampled","portal_plants","2001_summer",TRUE,3999,0.857631565530486,0.881579395092021,0.913214753342841,0.102395976649552,0.0375600802491382
37,5031,"sampled","portal_plants","2002_summer",TRUE,3998,0.861139745021302,0.884013978497728,0.913351556499448,0.0992506290911307,0.0352777691430881
6,3997,"sampled","portal_plants","2003_summer",TRUE,3997,0.68078265251267,0.651323487561414,0.8274780248942,0.169870960888918,0.104138271882151
45,9575,"sampled","portal_plants","2004_summer",TRUE,3998,0.881028691313098,0.899222573315586,0.923873776520441,0.090135825092703,0.0293524489286241
40,12770,"sampled","portal_plants","2005_summer",TRUE,4000,0.876900559253917,0.893747266058951,0.921598418193295,0.0915851409553641,0.0302728679940413
40,6478,"sampled","portal_plants","2006_summer",TRUE,4000,0.874787291161246,0.894795214615656,0.919404541015625,0.0945571549861068,0.0320992088017918
43,8619,"sampled","portal_plants","2007_summer",TRUE,3999,0.873572923407455,0.897635015054431,0.920296704193351,0.0923449913412336,0.0305796814993963
31,16036,"sampled","portal_plants","2008_summer",TRUE,3999,0.856928697868549,0.872324655402911,0.911073522696678,0.101133602183285,0.0365751678504979
1,2,"sampled","portal_plants","2009_summer",TRUE,1,NA,NA,NA,NA,NA
43,1823,"sampled","portal_plants","2011_summer",TRUE,4000,0.863293466397749,0.878644712225476,0.914676222118899,0.104061711464619,0.0386761611326801
5,1024,"sampled","portal_plants","2012_summer",TRUE,4000,0.659278386982487,0.610309855073293,0.820680197228877,0.181840087890625,0.11894797479329
7,123,"sampled","portal_plants","2013_summer",TRUE,3999,0.670227269951031,0.67317244930164,0.817004100944095,0.171416837949325,0.102047682680984
41,15395,"sampled","portal_plants","2014_summer",TRUE,3999,0.874040033627512,0.894390322676975,0.920755797394805,0.092089358812584,0.030588558316092
43,22825,"sampled","portal_plants","2015_summer",TRUE,3999,0.882960485747995,0.895310113053508,0.92519916784835,0.0895668933662769,0.0288430753373196
37,2927,"sampled","portal_plants","2016_summer",TRUE,3999,0.861021320027798,0.879916354518547,0.913640557874757,0.101862500131353,0.0372747270132391
47,10539,"sampled","portal_plants","2017_summer",TRUE,3997,0.886298564588181,0.90150070754037,0.92542159784241,0.0888722571912804,0.0285380653737418
18,250,"sampled","portal_plants","2018_summer",TRUE,3999,0.73253942489657,0.767877367800191,0.856819916769177,0.148708177044261,0.0779220202049837
11,679,"sampled","portal_plants","2019_summer",TRUE,3999,0.722733201923303,0.749030685382964,0.851577763581415,0.153716264117576,0.0828533270955543
26,21803,"sampled","portal_plants","1983_winter",TRUE,4000,0.841655632213097,0.855706429744333,0.904445374296638,0.10690027748475,0.0407474842343811
25,16159,"sampled","portal_plants","1985_winter",TRUE,4000,0.840634620206516,0.851092179322522,0.903709051231474,0.109424964416115,0.0428217712713214
27,6835,"sampled","portal_plants","1986_winter",TRUE,3996,0.838168551332613,0.859460513858281,0.901977993608065,0.109371368442327,0.0427436809405387
31,10070,"sampled","portal_plants","1988_winter",TRUE,3999,0.862971699785523,0.875564045300228,0.913160591362914,0.100850734034055,0.036338315371298
19,454,"sampled","portal_plants","1990_winter",TRUE,3998,0.763236246192518,0.795571460764145,0.867884606121101,0.139661791248047,0.0688409402650257
38,1949,"sampled","portal_plants","1991_winter",TRUE,3999,0.85293399738764,0.873803991183202,0.910201876143926,0.106286320169062,0.040229225863842
40,4785,"sampled","portal_plants","1994_winter",TRUE,4000,0.866436882707434,0.887314354684224,0.916032767183755,0.0978273772204807,0.0345105676726115
45,12504,"sampled","portal_plants","1995_winter",TRUE,4000,0.881153491399558,0.901212391540351,0.924535493239278,0.0892661548304543,0.0287514151200292
4,35,"sampled","portal_plants","1996_winter",TRUE,3855,0.583649309930251,0.558562276345992,0.784418253103736,0.187578284231981,0.122953357635937
48,7768,"sampled","portal_plants","1997_winter",TRUE,4000,0.882802004848027,0.902793573770352,0.924913477582368,0.0890597000514933,0.0288851879153291
40,4713,"sampled","portal_plants","1998_winter",TRUE,4000,0.87002186731541,0.889330530981531,0.917502173532826,0.0963907277742415,0.0334873429266963
11,219,"sampled","portal_plants","1999_winter",TRUE,3998,0.691720967887556,0.724741152872498,0.840652158783904,0.160958333047802,0.0908561912901147
3,13,"sampled","portal_plants","2000_winter",TRUE,91,0.558821335425115,0.494980798167574,0.766124211108182,0.186813186813187,0.113436383162565
42,5135,"sampled","portal_plants","2001_winter",TRUE,3999,0.87592324182472,0.894826318259891,0.921706670065781,0.0932989819996382,0.0313267852157148
18,2128,"sampled","portal_plants","2002_winter",TRUE,3996,0.79761347739348,0.819598706939746,0.883201079494671,0.126448817238291,0.0565037563099137
22,4680,"sampled","portal_plants","2003_winter",TRUE,4000,0.814022707331779,0.837163472011715,0.893013606494751,0.11917313034188,0.0505239596226464
59,5878,"sampled","portal_plants","2004_winter",TRUE,3999,0.893729387367202,0.910592130709735,0.931000881131401,0.0863790292588458,0.0269907318640402
40,13102,"sampled","portal_plants","2005_winter",TRUE,4000,0.881561632504328,0.891366260586731,0.922887290102103,0.0916073691039536,0.03044391640928
