"","sim","abund","rank","source","dat","site","singletons","s0","n0","nparts"
"1",1,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"2",1,1,2,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"3",1,1,3,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"4",3,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"5",5,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"6",5,1,2,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"7",6,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"8",8,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"9",11,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"10",13,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"11",15,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"12",18,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"13",22,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"14",22,1,2,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"15",25,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"16",26,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"17",26,1,2,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"18",27,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"19",27,1,2,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"20",29,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"21",30,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"22",31,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"23",31,1,2,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"24",31,1,3,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"25",32,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"26",33,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"27",34,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"28",35,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"29",38,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"30",38,1,2,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"31",39,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"32",39,1,2,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"33",40,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"34",43,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"35",44,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"36",44,1,2,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"37",45,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"38",45,1,2,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"39",45,1,3,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"40",46,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"41",46,1,2,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"42",46,1,3,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"43",48,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"44",49,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"45",50,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"46",54,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"47",57,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"48",59,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"49",59,1,2,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"50",60,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"51",60,1,2,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"52",64,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"53",65,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"54",65,1,2,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"55",68,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"56",69,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"57",69,1,2,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"58",70,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"59",72,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"60",72,1,2,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"61",73,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"62",73,1,2,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"63",73,1,3,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
"64",75,1,1,"sampled","fia_small","16059000010",FALSE,7,50,"8946"
