"sim","abund","rank","dat","site","singletons","source"
-99,1,1,"fia_short","11003000020_jacknife_1",FALSE,"observed"
-99,1,2,"fia_short","11003000020_jacknife_1",FALSE,"observed"
-99,2,3,"fia_short","11003000020_jacknife_1",FALSE,"observed"
-99,2,4,"fia_short","11003000020_jacknife_1",FALSE,"observed"
-99,3,5,"fia_short","11003000020_jacknife_1",FALSE,"observed"
-99,5,6,"fia_short","11003000020_jacknife_1",FALSE,"observed"
-99,7,7,"fia_short","11003000020_jacknife_1",FALSE,"observed"
-99,9,8,"fia_short","11003000020_jacknife_1",FALSE,"observed"
-99,1,1,"fia_short","11003000020_jacknife_10",FALSE,"observed"
-99,1,2,"fia_short","11003000020_jacknife_10",FALSE,"observed"
-99,2,3,"fia_short","11003000020_jacknife_10",FALSE,"observed"
-99,2,4,"fia_short","11003000020_jacknife_10",FALSE,"observed"
-99,2,5,"fia_short","11003000020_jacknife_10",FALSE,"observed"
-99,3,6,"fia_short","11003000020_jacknife_10",FALSE,"observed"
-99,4,7,"fia_short","11003000020_jacknife_10",FALSE,"observed"
-99,5,8,"fia_short","11003000020_jacknife_10",FALSE,"observed"
-99,10,9,"fia_short","11003000020_jacknife_10",FALSE,"observed"
-99,1,1,"fia_short","11003000020_jacknife_2",FALSE,"observed"
-99,1,2,"fia_short","11003000020_jacknife_2",FALSE,"observed"
-99,2,3,"fia_short","11003000020_jacknife_2",FALSE,"observed"
-99,2,4,"fia_short","11003000020_jacknife_2",FALSE,"observed"
-99,5,5,"fia_short","11003000020_jacknife_2",FALSE,"observed"
-99,5,6,"fia_short","11003000020_jacknife_2",FALSE,"observed"
-99,6,7,"fia_short","11003000020_jacknife_2",FALSE,"observed"
-99,8,8,"fia_short","11003000020_jacknife_2",FALSE,"observed"
-99,1,1,"fia_short","11003000020_jacknife_3",FALSE,"observed"
-99,1,2,"fia_short","11003000020_jacknife_3",FALSE,"observed"
-99,2,3,"fia_short","11003000020_jacknife_3",FALSE,"observed"
-99,2,4,"fia_short","11003000020_jacknife_3",FALSE,"observed"
-99,4,5,"fia_short","11003000020_jacknife_3",FALSE,"observed"
-99,4,6,"fia_short","11003000020_jacknife_3",FALSE,"observed"
-99,8,7,"fia_short","11003000020_jacknife_3",FALSE,"observed"
-99,8,8,"fia_short","11003000020_jacknife_3",FALSE,"observed"
-99,1,1,"fia_short","11003000020_jacknife_4",FALSE,"observed"
