"sim","abund","rank","dat","site","singletons","source"
-99,1,1,"fia_small","12131000113_jacknife_1",FALSE,"observed"
-99,1,2,"fia_small","12131000113_jacknife_1",FALSE,"observed"
-99,1,3,"fia_small","12131000113_jacknife_1",FALSE,"observed"
-99,1,4,"fia_small","12131000113_jacknife_1",FALSE,"observed"
-99,35,5,"fia_small","12131000113_jacknife_1",FALSE,"observed"
-99,1,1,"fia_small","12131000113_jacknife_10",FALSE,"observed"
-99,1,2,"fia_small","12131000113_jacknife_10",FALSE,"observed"
-99,1,3,"fia_small","12131000113_jacknife_10",FALSE,"observed"
-99,1,4,"fia_small","12131000113_jacknife_10",FALSE,"observed"
-99,1,5,"fia_small","12131000113_jacknife_10",FALSE,"observed"
-99,34,6,"fia_small","12131000113_jacknife_10",FALSE,"observed"
-99,1,1,"fia_small","12131000113_jacknife_2",FALSE,"observed"
-99,1,2,"fia_small","12131000113_jacknife_2",FALSE,"observed"
-99,1,3,"fia_small","12131000113_jacknife_2",FALSE,"observed"
-99,2,4,"fia_small","12131000113_jacknife_2",FALSE,"observed"
-99,34,5,"fia_small","12131000113_jacknife_2",FALSE,"observed"
-99,1,1,"fia_small","12131000113_jacknife_3",FALSE,"observed"
-99,1,2,"fia_small","12131000113_jacknife_3",FALSE,"observed"
-99,1,3,"fia_small","12131000113_jacknife_3",FALSE,"observed"
-99,1,4,"fia_small","12131000113_jacknife_3",FALSE,"observed"
-99,35,5,"fia_small","12131000113_jacknife_3",FALSE,"observed"
-99,1,1,"fia_small","12131000113_jacknife_4",FALSE,"observed"
-99,1,2,"fia_small","12131000113_jacknife_4",FALSE,"observed"
-99,1,3,"fia_small","12131000113_jacknife_4",FALSE,"observed"
-99,2,4,"fia_small","12131000113_jacknife_4",FALSE,"observed"
-99,34,5,"fia_small","12131000113_jacknife_4",FALSE,"observed"
-99,1,1,"fia_small","12131000113_jacknife_5",FALSE,"observed"
-99,1,2,"fia_small","12131000113_jacknife_5",FALSE,"observed"
-99,1,3,"fia_small","12131000113_jacknife_5",FALSE,"observed"
-99,1,4,"fia_small","12131000113_jacknife_5",FALSE,"observed"
-99,1,5,"fia_small","12131000113_jacknife_5",FALSE,"observed"
-99,34,6,"fia_small","12131000113_jacknife_5",FALSE,"observed"
-99,1,1,"fia_small","12131000113_jacknife_6",FALSE,"observed"
-99,1,2,"fia_small","12131000113_jacknife_6",FALSE,"observed"
-99,1,3,"fia_small","12131000113_jacknife_6",FALSE,"observed"
-99,2,4,"fia_small","12131000113_jacknife_6",FALSE,"observed"
-99,34,5,"fia_small","12131000113_jacknife_6",FALSE,"observed"
-99,1,1,"fia_small","12131000113_jacknife_7",FALSE,"observed"
-99,1,2,"fia_small","12131000113_jacknife_7",FALSE,"observed"
-99,1,3,"fia_small","12131000113_jacknife_7",FALSE,"observed"
-99,1,4,"fia_small","12131000113_jacknife_7",FALSE,"observed"
-99,35,5,"fia_small","12131000113_jacknife_7",FALSE,"observed"
-99,1,1,"fia_small","12131000113_jacknife_8",FALSE,"observed"
-99,1,2,"fia_small","12131000113_jacknife_8",FALSE,"observed"
-99,1,3,"fia_small","12131000113_jacknife_8",FALSE,"observed"
-99,1,4,"fia_small","12131000113_jacknife_8",FALSE,"observed"
-99,1,5,"fia_small","12131000113_jacknife_8",FALSE,"observed"
-99,34,6,"fia_small","12131000113_jacknife_8",FALSE,"observed"
-99,1,1,"fia_small","12131000113_jacknife_9",FALSE,"observed"
-99,1,2,"fia_small","12131000113_jacknife_9",FALSE,"observed"
-99,1,3,"fia_small","12131000113_jacknife_9",FALSE,"observed"
-99,2,4,"fia_small","12131000113_jacknife_9",FALSE,"observed"
-99,34,5,"fia_small","12131000113_jacknife_9",FALSE,"observed"
-99,1,1,"fia_small","13069000034_jacknife_1",FALSE,"observed"
-99,1,2,"fia_small","13069000034_jacknife_1",FALSE,"observed"
-99,1,3,"fia_small","13069000034_jacknife_1",FALSE,"observed"
-99,2,4,"fia_small","13069000034_jacknife_1",FALSE,"observed"
-99,1,1,"fia_small","13069000034_jacknife_10",FALSE,"observed"
-99,1,2,"fia_small","13069000034_jacknife_10",FALSE,"observed"
-99,1,3,"fia_small","13069000034_jacknife_10",FALSE,"observed"
-99,1,4,"fia_small","13069000034_jacknife_10",FALSE,"observed"
-99,1,5,"fia_small","13069000034_jacknife_10",FALSE,"observed"
-99,1,1,"fia_small","13069000034_jacknife_2",FALSE,"observed"
-99,1,2,"fia_small","13069000034_jacknife_2",FALSE,"observed"
-99,3,3,"fia_small","13069000034_jacknife_2",FALSE,"observed"
-99,1,1,"fia_small","13069000034_jacknife_3",FALSE,"observed"
-99,1,2,"fia_small","13069000034_jacknife_3",FALSE,"observed"
-99,1,3,"fia_small","13069000034_jacknife_3",FALSE,"observed"
-99,2,4,"fia_small","13069000034_jacknife_3",FALSE,"observed"
-99,1,1,"fia_small","13069000034_jacknife_4",FALSE,"observed"
-99,1,2,"fia_small","13069000034_jacknife_4",FALSE,"observed"
-99,3,3,"fia_small","13069000034_jacknife_4",FALSE,"observed"
-99,1,1,"fia_small","13069000034_jacknife_5",FALSE,"observed"
-99,1,2,"fia_small","13069000034_jacknife_5",FALSE,"observed"
-99,1,3,"fia_small","13069000034_jacknife_5",FALSE,"observed"
-99,2,4,"fia_small","13069000034_jacknife_5",FALSE,"observed"
-99,1,1,"fia_small","13069000034_jacknife_6",FALSE,"observed"
-99,1,2,"fia_small","13069000034_jacknife_6",FALSE,"observed"
-99,1,3,"fia_small","13069000034_jacknife_6",FALSE,"observed"
-99,2,4,"fia_small","13069000034_jacknife_6",FALSE,"observed"
-99,1,1,"fia_small","13069000034_jacknife_7",FALSE,"observed"
-99,1,2,"fia_small","13069000034_jacknife_7",FALSE,"observed"
-99,1,3,"fia_small","13069000034_jacknife_7",FALSE,"observed"
-99,2,4,"fia_small","13069000034_jacknife_7",FALSE,"observed"
-99,1,1,"fia_small","13069000034_jacknife_8",FALSE,"observed"
-99,1,2,"fia_small","13069000034_jacknife_8",FALSE,"observed"
-99,1,3,"fia_small","13069000034_jacknife_8",FALSE,"observed"
-99,2,4,"fia_small","13069000034_jacknife_8",FALSE,"observed"
-99,1,1,"fia_small","13069000034_jacknife_9",FALSE,"observed"
-99,1,2,"fia_small","13069000034_jacknife_9",FALSE,"observed"
-99,1,3,"fia_small","13069000034_jacknife_9",FALSE,"observed"
-99,2,4,"fia_small","13069000034_jacknife_9",FALSE,"observed"
-99,1,1,"fia_small","14125000065_jacknife_1",FALSE,"observed"
-99,1,2,"fia_small","14125000065_jacknife_1",FALSE,"observed"
-99,2,3,"fia_small","14125000065_jacknife_1",FALSE,"observed"
-99,4,4,"fia_small","14125000065_jacknife_1",FALSE,"observed"
-99,1,1,"fia_small","14125000065_jacknife_10",FALSE,"observed"
-99,1,2,"fia_small","14125000065_jacknife_10",FALSE,"observed"
-99,1,3,"fia_small","14125000065_jacknife_10",FALSE,"observed"
-99,1,4,"fia_small","14125000065_jacknife_10",FALSE,"observed"
-99,4,5,"fia_small","14125000065_jacknife_10",FALSE,"observed"
-99,1,1,"fia_small","14125000065_jacknife_2",FALSE,"observed"
-99,1,2,"fia_small","14125000065_jacknife_2",FALSE,"observed"
-99,2,3,"fia_small","14125000065_jacknife_2",FALSE,"observed"
-99,2,4,"fia_small","14125000065_jacknife_2",FALSE,"observed"
-99,2,5,"fia_small","14125000065_jacknife_2",FALSE,"observed"
-99,1,1,"fia_small","14125000065_jacknife_3",FALSE,"observed"
-99,1,2,"fia_small","14125000065_jacknife_3",FALSE,"observed"
-99,2,3,"fia_small","14125000065_jacknife_3",FALSE,"observed"
-99,2,4,"fia_small","14125000065_jacknife_3",FALSE,"observed"
-99,2,5,"fia_small","14125000065_jacknife_3",FALSE,"observed"
