"sim","abund","rank","dat","site","singletons","source"
-99,2,1,"mcdb","1001_jacknife_1",FALSE,"observed"
-99,8,2,"mcdb","1001_jacknife_1",FALSE,"observed"
-99,29,3,"mcdb","1001_jacknife_1",FALSE,"observed"
-99,2,1,"mcdb","1001_jacknife_10",FALSE,"observed"
-99,37,2,"mcdb","1001_jacknife_10",FALSE,"observed"
-99,5,1,"mcdb","1001_jacknife_2",FALSE,"observed"
-99,34,2,"mcdb","1001_jacknife_2",FALSE,"observed"
-99,3,1,"mcdb","1001_jacknife_3",FALSE,"observed"
-99,36,2,"mcdb","1001_jacknife_3",FALSE,"observed"
-99,4,1,"mcdb","1001_jacknife_4",FALSE,"observed"
-99,35,2,"mcdb","1001_jacknife_4",FALSE,"observed"
-99,6,1,"mcdb","1001_jacknife_5",FALSE,"observed"
-99,33,2,"mcdb","1001_jacknife_5",FALSE,"observed"
-99,3,1,"mcdb","1001_jacknife_6",FALSE,"observed"
-99,36,2,"mcdb","1001_jacknife_6",FALSE,"observed"
-99,5,1,"mcdb","1001_jacknife_7",FALSE,"observed"
-99,34,2,"mcdb","1001_jacknife_7",FALSE,"observed"
-99,1,1,"mcdb","1001_jacknife_8",FALSE,"observed"
-99,5,2,"mcdb","1001_jacknife_8",FALSE,"observed"
-99,33,3,"mcdb","1001_jacknife_8",FALSE,"observed"
-99,1,1,"mcdb","1001_jacknife_9",FALSE,"observed"
-99,38,2,"mcdb","1001_jacknife_9",FALSE,"observed"
-99,15,1,"mcdb","1002_jacknife_1",FALSE,"observed"
-99,41,2,"mcdb","1002_jacknife_1",FALSE,"observed"
-99,9,1,"mcdb","1002_jacknife_10",FALSE,"observed"
-99,47,2,"mcdb","1002_jacknife_10",FALSE,"observed"
-99,15,1,"mcdb","1002_jacknife_2",FALSE,"observed"
-99,41,2,"mcdb","1002_jacknife_2",FALSE,"observed"
-99,12,1,"mcdb","1002_jacknife_3",FALSE,"observed"
-99,44,2,"mcdb","1002_jacknife_3",FALSE,"observed"
-99,1,1,"mcdb","1002_jacknife_4",FALSE,"observed"
-99,1,2,"mcdb","1002_jacknife_4",FALSE,"observed"
-99,15,3,"mcdb","1002_jacknife_4",FALSE,"observed"
-99,39,4,"mcdb","1002_jacknife_4",FALSE,"observed"
-99,3,1,"mcdb","1002_jacknife_5",FALSE,"observed"
-99,13,2,"mcdb","1002_jacknife_5",FALSE,"observed"
-99,40,3,"mcdb","1002_jacknife_5",FALSE,"observed"
