"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","prop_off_actual","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","nsingletons_mean","nsingletons_95","mean_prop_off_actual","prop_off_actual_2p5","prop_off_actual_97p5","prop_off_actual_5","prop_off_actual_95","prop_off_sim_95","mean_prop_off_sim","prop_off_sim_95_1t","skew_range","simpson_range","nsamples","skew_unique","simpson_unique","shannon_unique","skew_2p5","skew_97p5","skew_95","skew_min","simpson_max","shannon_min","shannon_2p5","shannon_97p5","shannon_max","shannon_5","shannon_range","simpson_2p5","simpson_5","simpson_97p5","skew_95_ratio_2t","simpson_95_ratio_2t","skew_95_ratio_1t","simpson_95_ratio_1t","shannon_95_ratio_2t","shannon_95_ratio_1t"
-99,"observed","mcdb","1001_jacknife_1",FALSE,2,39,"19",0,0.330680630831979,0.184089414858646,0,0,100,21.0526315789474,21.0526315789474,0,15.7894736842105,94.7368421052632,0,0.0526315789473684,0.0999999999999979,0.17004048582996,0.0115384615384615,0.373076923076923,0.0230769230769231,0.361538461538461,0.358974358974359,0.122507122507123,1,0,0.449704142011834,19,1,19,19,0,0,0,0,0.499671268902038,0.119246926396245,0.156608660326781,0.691633681595583,0.692818413431129,0.193970394257317,0.573571487034884,0.0712689020381328,0.0925706771860618,0.498487836949375,NA,0.95,NA,0.905263157894737,0.932795707880546,0.869722485252256
-99,"observed","mcdb","1001_jacknife_10",FALSE,2,39,"19",0,0.382960430767595,0.22353714661407,0,0,100,26.3157894736842,26.3157894736842,0,21.0526315789474,94.7368421052632,0,0.0526315789473684,0.0999999999999979,0.155195681511471,0.0115384615384615,0.347435897435897,0.0230769230769231,0.335897435897436,0.344871794871795,0.205128205128205,0.803846153846153,0,0.449704142011834,19,1,19,19,0,0,0,0,0.499671268902038,0.119246926396245,0.156608660326781,0.691633681595583,0.692818413431129,0.193970394257317,0.573571487034884,0.0712689020381328,0.0925706771860618,0.498487836949375,NA,0.95,NA,0.905263157894737,0.932795707880546,0.869722485252256
-99,"observed","mcdb","1001_jacknife_2",FALSE,2,39,"19",0,0.382960430767595,0.22353714661407,0,0,100,26.3157894736842,26.3157894736842,0,21.0526315789474,94.7368421052632,0,0.0526315789473684,0.0999999999999979,0.155195681511471,0.0115384615384615,0.347435897435897,0.0230769230769231,0.335897435897436,0.302564102564102,0.134238310708899,0.771428571428571,0,0.449704142011834,19,1,19,19,0,0,0,0,0.499671268902038,0.119246926396245,0.156608660326781,0.691633681595583,0.692818413431129,0.193970394257317,0.573571487034884,0.0712689020381328,0.0925706771860618,0.498487836949375,NA,0.95,NA,0.905263157894737,0.932795707880546,0.869722485252256
-99,"observed","mcdb","1001_jacknife_3",FALSE,2,39,"19",0,0.330680630831979,0.184089414858646,0,0,100,21.0526315789474,21.0526315789474,0,15.7894736842105,94.7368421052632,0,0.0526315789473684,0.0999999999999979,0.17004048582996,0.0115384615384615,0.373076923076923,0.0230769230769231,0.361538461538461,0.38974358974359,0.171945701357466,0.946666666666667,0,0.449704142011834,19,1,19,19,0,0,0,0,0.499671268902038,0.119246926396245,0.156608660326781,0.691633681595583,0.692818413431129,0.193970394257317,0.573571487034884,0.0712689020381328,0.0925706771860618,0.498487836949375,NA,0.95,NA,0.905263157894737,0.932795707880546,0.869722485252256
-99,"observed","mcdb","1001_jacknife_4",FALSE,3,39,"127",0.373230133341892,0.447114587631466,0.22879684418146,1,0,80.3149606299213,3.93700787401575,3.93700787401575,77.9527559055118,3.1496062992126,99.2125984251969,85.0393700787402,0.15748031496063,1,0.277811427417727,0.0256410256410256,0.487179487179487,0.0512820512820513,0.479487179487179,0.384615384615385,0.187965260545906,0.736842105263158,0.769800358919501,0.568047337278107,127,73,103,127,-0.384900179459751,0.384900179459751,0.384900179459751,-0.384900179459751,0.666666666666667,0.237819011056921,0.408573940093025,1.092249424459,1.09861228866811,0.507222575268287,0.860793277611189,0.195266272189349,0.268113083497699,0.662524654832347,1,0.822569444444444,1,0.701620370370371,0.794238874940174,0.687028731266356
-99,"observed","mcdb","1001_jacknife_5",FALSE,2,39,"19",0,0.271189373041844,0.142011834319526,0,0,100,15.7894736842105,15.7894736842105,0,10.5263157894737,94.7368421052632,0,0.0526315789473684,0.0999999999999979,0.187584345479082,0.0115384615384615,0.398717948717949,0.0230769230769231,0.387179487179487,0.358974358974359,0.163817663817664,1,0,0.449704142011834,19,1,19,19,0,0,0,0,0.499671268902038,0.119246926396245,0.156608660326781,0.691633681595583,0.692818413431129,0.193970394257317,0.573571487034884,0.0712689020381328,0.0925706771860618,0.498487836949375,NA,0.95,NA,0.905263157894737,0.932795707880546,0.869722485252256
-99,"observed","mcdb","1001_jacknife_6",FALSE,3,39,"127",0.362235369269308,0.498640130986971,0.266929651545036,1,0,75.5905511811024,5.51181102362205,5.51181102362205,73.2283464566929,4.7244094488189,99.2125984251969,85.0393700787402,0.15748031496063,1,0.255400767211791,0.0256410256410256,0.461538461538462,0.0512820512820513,0.453846153846154,0.351282051282051,0.191601049868766,0.705555555555555,0.769800358919501,0.568047337278107,127,73,103,127,-0.384900179459751,0.384900179459751,0.384900179459751,-0.384900179459751,0.666666666666667,0.237819011056921,0.408573940093025,1.092249424459,1.09861228866811,0.507222575268287,0.860793277611189,0.195266272189349,0.268113083497699,0.662524654832347,1,0.822569444444444,1,0.701620370370371,0.794238874940174,0.687028731266356
-99,"observed","mcdb","1001_jacknife_7",FALSE,3,39,"127",0.373230133341892,0.447114587631466,0.22879684418146,1,0,80.3149606299213,3.93700787401575,3.93700787401575,77.9527559055118,3.1496062992126,99.2125984251969,85.0393700787402,0.15748031496063,1,0.277811427417727,0.0256410256410256,0.487179487179487,0.0512820512820513,0.479487179487179,0.41025641025641,0.187361195235211,0.75,0.769800358919501,0.568047337278107,127,73,103,127,-0.384900179459751,0.384900179459751,0.384900179459751,-0.384900179459751,0.666666666666667,0.237819011056921,0.408573940093025,1.092249424459,1.09861228866811,0.507222575268287,0.860793277611189,0.195266272189349,0.268113083497699,0.662524654832347,1,0.822569444444444,1,0.701620370370371,0.794238874940174,0.687028731266356
-99,"observed","mcdb","1001_jacknife_8",FALSE,3,39,"127",0.380147248481575,0.388356030280062,0.188034188034188,1,0,85.0393700787402,2.36220472440945,2.36220472440945,83.4645669291339,1.5748031496063,99.2125984251969,85.0393700787402,0.15748031496063,1,0.301433474661821,0.0256410256410256,0.512820512820513,0.0512820512820513,0.505128205128205,0.4,0.185641025641026,0.811111111111111,0.769800358919501,0.568047337278107,127,73,103,127,-0.384900179459751,0.384900179459751,0.384900179459751,-0.384900179459751,0.666666666666667,0.237819011056921,0.408573940093025,1.092249424459,1.09861228866811,0.507222575268287,0.860793277611189,0.195266272189349,0.268113083497699,0.662524654832347,1,0.822569444444444,1,0.701620370370371,0.794238874940174,0.687028731266356
-99,"observed","mcdb","1001_jacknife_9",FALSE,2,39,"19",0,0.429323021930616,0.260355029585799,0,0,100,31.5789473684211,31.5789473684211,0,26.3157894736842,94.7368421052632,0,0.0526315789473684,0.0999999999999979,0.143049932523617,0.0115384615384615,0.321794871794872,0.0230769230769231,0.31025641025641,0.312820512820513,0.161387631975867,0.933333333333333,0,0.449704142011834,19,1,19,19,0,0,0,0,0.499671268902038,0.119246926396245,0.156608660326781,0.691633681595583,0.692818413431129,0.193970394257317,0.573571487034884,0.0712689020381328,0.0925706771860618,0.498487836949375,NA,0.95,NA,0.905263157894737,0.932795707880546,0.869722485252256
-99,"observed","mcdb","1002_jacknife_1",FALSE,2,56,"28",0,0.541852643916878,0.356505102040816,0,0,96.4285714285714,46.4285714285714,46.4285714285714,0,42.8571428571429,96.4285714285714,0,0.0357142857142857,0,0.126275510204082,0.0120535714285714,0.255803571428571,0.0178571428571429,0.24375,0.315178571428571,0.143494897959184,0.69375,0,0.464923469387755,28,2,28,28,0,0,0,0,0.5,0.0895780266675439,0.133114228644897,0.692716604304741,0.693147180559945,0.173264382366804,0.603569153892401,0.057892219387755,0.0802614795918367,0.499569515306122,NA,0.95,NA,0.90281207133059,0.927155359168016,0.861347527189604
-99,"observed","mcdb","1002_jacknife_10",FALSE,4,56,"1285",0.681442986366916,0.613301097240678,0.32780612244898,2,0,84.9348534201954,1.95439739413681,2.44299674267101,84.8534201954397,2.36156351791531,99.9185667752443,97.8827361563518,0.219055374592834,1,0.298452768729642,0.0714285714285714,0.5,0.0892857142857143,0.482142857142857,0.357142857142857,0.180464926590538,0.612903225806452,1.5,0.646683673469388,1228,962,593,1225,-0.628565856621466,0.746154572676797,0.737541145049516,-0.75,0.75,0.267753986837605,0.664116798315803,1.36270352869254,1.38629436111989,0.755563056196175,1.11854037428229,0.335889668367347,0.399107142857143,0.738520408163265,0.916480286198842,0.622608481262327,0.991694096699677,0.542603550295858,0.624552091671241,0.563887830449058
-99,"observed","mcdb","1002_jacknife_2",FALSE,4,56,"1285",0.603380715634517,0.68961948063948,0.39094387755102,2,0,75.3682487725041,3.35515548281506,5.23731587561375,75.2864157119476,5.15548281505728,99.9181669394435,97.7905073649755,0.219312602291326,1,0.254646948795885,0.0714285714285714,0.446428571428571,0.0892857142857143,0.410714285714286,0.375,0.186659061659062,0.588235294117647,1.5,0.646683673469388,1222,958,592,1220,-0.60379800174901,0.746154572676797,0.737696596886315,-0.75,0.75,0.267753986837605,0.649059520407519,1.36230186736436,1.38629436111989,0.750563994931626,1.11854037428229,0.321444515306123,0.389732142857143,0.738185586734694,0.899968382950538,0.644428007889546,0.991797731257543,0.557100591715976,0.637654539215441,0.568357102528537
-99,"observed","mcdb","1002_jacknife_3",FALSE,2,56,"28",0,0.581115838031403,0.392219387755102,0,0,96.4285714285714,53.5714285714286,53.5714285714286,0,50,96.4285714285714,0,0.0357142857142857,0,0.125,0.0120535714285714,0.237946428571429,0.0178571428571429,0.232142857142857,0.414285714285714,0.197142857142857,0.888,0,0.464923469387755,28,2,28,28,0,0,0,0,0.5,0.0895780266675439,0.133114228644897,0.692716604304741,0.693147180559945,0.173264382366804,0.603569153892401,0.057892219387755,0.0802614795918367,0.499569515306122,NA,0.95,NA,0.90281207133059,0.927155359168016,0.861347527189604
