"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","prop_off_actual","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","nsingletons_mean","nsingletons_95","nsingeltons_median","mean_prop_off_actual","prop_off_actual_2p5","prop_off_actual_97p5","prop_off_actual_5","prop_off_actual_95","prop_off_sim_95","mean_prop_off_sim","prop_off_sim_95_1t"
1,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.48981118481124,2.02039663444548,0.818526862449808,0,0.178335535006605,80.5,13.275,11.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.344587782231156,2.22698525808045,0.875059549881424,0,0.0924702774108322,10.05,60.475,69.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.16637192146793,2.34548402403157,0.892925386834285,0,0.0845442536327609,5.025,91.325,93.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",-0.00482847513384288,2.30464500857934,0.888691891967354,0,0.126816380449141,2.1,82.775,89.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.753970799680524,2.32016365043448,0.886119686100141,0,0.0885072655217966,35.2,86.525,85.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.488302056287063,2.24863804620111,0.876012347984204,0,0.0726552179656539,17.075,67,71.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.70796048090433,2.26670924370173,0.875820392322472,0,0.0501981505944518,31.625,72.7,70.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.29934997072672,1.99431110833517,0.823919071493014,0,0.157199471598415,71.075,10.45,14.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",-0.0424450730244565,2.30144415196276,0.889906447790678,0,0.117569352708058,1.625,82.05,90.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.57234678010701,2.05967213114792,0.823667784081291,0,0.171730515191546,83.4,18.475,14.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.4655270088121,2.06010698762907,0.832539625756262,1,0.150594451783355,79.05,18.55,19.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.13658280775515,2.30968995914814,0.879963144512947,0,0.0924702774108322,62.125,84.175,77.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.210105397290784,2.32350364869208,0.888381272805641,0,0.0885072655217966,6.25,87.2,88.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",-0.16625648676629,2.35727222319171,0.896513212657207,0,0.125495376486129,0.75,93.4,96.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.16980335142155,2.33992844320236,0.885142457276777,0,0.0911492734478203,63.775,90.225,84.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.356087108453359,2.13934909655372,0.865067385162525,1,0.141347424042272,10.55,34.95,53.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.678184918847724,2.05512315032955,0.843997633710206,0,0.145310435931308,29.425,17.8,27.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.68049458710994,2.1415377445935,0.838350647152338,0,0.133421400264201,87.15,35.4,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.16629981542204,2.19516452772848,0.862983793706995,1,0.109643328929987,63.625,50.7,50.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.981100085034395,2.21988400654038,0.865723524515356,0,0.0581241743725231,51.775,58.2,54.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",-0.367842375276745,2.4136212285106,0.904243790670606,0,0.149273447820343,0.25,98.425,99.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.463923657864262,2.42252669196417,0.901217871421118,0,0.0845442536327609,15.775,98.875,98.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.23659507521224,2.19370426787739,0.858764259251827,0,0.108322324966975,67.775,50.225,44.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.190695962873108,2.24430735203932,0.880710026542233,1,0.0964332892998679,5.6,65.725,78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.10983837795248,2.17461849331724,0.85580465195821,0,0.0885072655217966,60.25,44.55,40.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.0572350711661,2.25833500311362,0.870840015426255,0,0.0964332892998679,57.125,69.95,62.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.602049314153464,2.27526035297211,0.879649035248295,0,0.0700132100396301,24,75.025,76.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.776783852089399,2.11906738373986,0.850960389076676,0,0.125495376486129,37.15,29.9,34.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.31021461301791,2.02677610012372,0.822446248052086,0,0.175693527080581,71.425,13.95,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
