"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","prop_off_actual","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","nsingletons_mean","nsingletons_95","nsingeltons_median","mean_prop_off_actual","prop_off_actual_2p5","prop_off_actual_97p5","prop_off_actual_5","prop_off_actual_95","prop_off_sim_95","mean_prop_off_sim","prop_off_sim_95_1t"
1,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.6944434787738,3.4596239186139,0.961190109777367,3,0.36374269005848,40.5,96.75,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.40946134465609,3.24618142812257,0.948413528949078,0,0.330994152046784,22.95,43.825,52.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.65026920029839,3.42467384877772,0.957187510687049,0,0.348538011695906,37.825,92.55,85.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.63067867448437,3.19639541611764,0.944908860846072,7,0.308771929824561,36.7,29.725,39.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.55145404625138,3.40546140982971,0.958073937279847,0,0.343859649122807,31.525,89.475,89.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.91632389921912,3.21273847883956,0.943817242912349,2,0.286549707602339,54.625,33.8,35.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.43068371075653,3.15494716609409,0.936490544099039,3,0.260818713450292,78.35,19.6,16.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.76305601681856,3.17801398291906,0.942914401012277,1,0.294736842105263,45.15,25.25,31.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.04428155781796,3.27323816985568,0.948522964330905,3,0.314619883040936,62,52.45,52.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.37863513851999,3.22939381917048,0.942123730378578,4,0.27719298245614,76.875,38.7,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",3.02776702068967,3.12455956684982,0.929812249923053,0,0.237426900584795,92.175,13.85,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.35455098306047,3.07597145993336,0.941302965014876,13,0.315789473684211,19.95,8.125,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
