"source","dat","site","singletons","s0","n0","sim","nparts","real_po","real_r2","best_po_sim","sim_pos_from_best","sim_r2_from_best","sim_r2_from_best_median","ncomparisons","real_po_percentile","real_po_percentile_excl","real_r2_percentile","real_r2_percentile_excl"
"observed","mcdb","1001_jacknife_1",FALSE,2,39,-99,"19",0.153846153846154,0.850156087408949,10,0.128205128205128,-19.3535428338962,0.805519386818088,18,66.6666666666667,55.5555555555556,61.1111111111111,55.5555555555556
"observed","mcdb","1001_jacknife_10",FALSE,2,39,-99,"19",0.128205128205128,0.881093935790725,2,0.128205128205128,-19.3535428338962,0.805519386818088,18,55.5555555555556,44.4444444444444,66.6666666666667,61.1111111111111
"observed","mcdb","1001_jacknife_2",FALSE,2,39,-99,"19",0.128205128205128,0.881093935790725,13,0.128205128205128,-19.3535428338962,0.805519386818088,18,55.5555555555556,44.4444444444444,66.6666666666667,61.1111111111111
"observed","mcdb","1001_jacknife_3",FALSE,2,39,-99,"19",0.153846153846154,0.850156087408949,14,0.128205128205128,-19.3535428338962,0.805519386818088,18,66.6666666666667,55.5555555555556,61.1111111111111,55.5555555555556
"observed","mcdb","1001_jacknife_4",FALSE,3,39,-99,"127",0.282051282051282,0.708708708708709,113,0.134920634920635,-Inf,0.799675946383856,126,96.8253968253968,95.2380952380952,34.1269841269841,33.3333333333333
"observed","mcdb","1001_jacknife_5",FALSE,2,39,-99,"19",0.179487179487179,0.820018365472911,17,0.128205128205128,-19.3535428338962,0.805519386818088,18,77.7777777777778,66.6666666666667,55.5555555555556,50
"observed","mcdb","1001_jacknife_6",FALSE,3,39,-99,"127",0.256410256410256,0.740131578947368,115,0.134920634920635,-Inf,0.799675946383856,126,95.2380952380952,92.0634920634921,38.8888888888889,38.0952380952381
"observed","mcdb","1001_jacknife_7",FALSE,3,39,-99,"127",0.282051282051282,0.708708708708709,52,0.134920634920635,-Inf,0.799675946383856,126,96.8253968253968,95.2380952380952,34.1269841269841,33.3333333333333
"observed","mcdb","1001_jacknife_8",FALSE,3,39,-99,"127",0.307692307692308,0.678571428571429,94,0.134920634920635,-Inf,0.799675946383856,126,98.4126984126984,96.8253968253968,30.952380952381,30.1587301587302
"observed","mcdb","1001_jacknife_9",FALSE,2,39,-99,"19",0.102564102564103,0.912208504801097,8,0.128205128205128,-19.3535428338962,0.805519386818088,18,44.4444444444444,33.3333333333333,72.2222222222222,66.6666666666667
