"source","dat","site","singletons","s0","n0","sim","nparts","real_po","real_r2","best_po_sim","sim_pos_from_best","sim_r2_from_best","sim_r2_from_best_median","ncomparisons","real_po_percentile","real_po_percentile_excl","real_r2_percentile","real_r2_percentile_excl"
"observed","misc_abund_short","1_jacknife_1",FALSE,7,44,-99,"4526",0.181818181818182,0.791311754684838,654,0.135162157620568,0.654496531927557,0.825229960578187,2705,84.1404805914972,77.0425138632163,41.1090573012939,41.0720887245841
"observed","misc_abund_short","1_jacknife_10",FALSE,8,44,-99,"5812",0.159090909090909,0.805031446540881,1329,0.133788508788509,0.659635066985519,0.833333333333333,2886,78.4823284823285,67.5675675675676,43.000693000693,42.9313929313929
"observed","misc_abund_short","1_jacknife_2",FALSE,8,44,-99,"5812",0.227272727272727,0.783505154639175,336,0.135278389430639,0.63466905891039,0.816617357001972,2890,94.1522491349481,91.2456747404844,41.2456747404844,41.2456747404844
"observed","misc_abund_short","1_jacknife_3",FALSE,9,44,-99,"6615",0.159090909090909,0.852788104089219,1162,0.1304032602723,0.658829642623304,0.844492440604752,2978,80.2887844190732,68.7374076561451,53.1900604432505,53.1229012760242
"observed","misc_abund_short","1_jacknife_4",FALSE,8,44,-99,"5812",0.136363636363636,0.865030674846626,632,0.132951015156745,0.637812720140034,0.834394904458599,2897,67.2074559889541,51.7086641353124,61.1667241974456,61.1667241974456
"observed","misc_abund_short","1_jacknife_5",FALSE,8,44,-99,"5812",0.136363636363636,0.857142857142857,217,0.130221343873518,0.653087100948155,0.83695652173913,2875,69.9130434782609,53.3217391304348,56.8,56.2434782608696
"observed","misc_abund_short","1_jacknife_6",FALSE,9,44,-99,"6615",0.181818181818182,0.806786703601108,100,0.13135127712167,0.650921440322653,0.838484546360917,2979,87.3111782477341,79.8590130916415,40.5505203088285,40.4833836858006
"observed","misc_abund_short","1_jacknife_7",FALSE,8,44,-99,"5812",0.136363636363636,0.878048780487805,2831,0.132196578791006,0.693332011614016,0.833333333333333,2907,69.109047127623,54.4891640866873,66.1850705194358,65.9442724458204
"observed","misc_abund_short","1_jacknife_8",FALSE,8,44,-99,"5812",0.113636363636364,0.882352941176471,1025,0.13201918207141,0.610341443998293,0.835571377072819,2872,51.4972144846797,32.7994428969359,65.9122562674095,65.5292479108635
"observed","misc_abund_short","1_jacknife_9",FALSE,9,44,-99,"6615",0.136363636363636,0.852994555353902,2648,0.129485745381987,0.636635321728646,0.838874680306905,3007,70.1030927835051,55.1047555703359,54.2401064183572,54.2068506817426
"observed","misc_abund_short","2_jacknife_1",FALSE,8,61,-99,"41635",0.147540983606557,0.846120218579235,3028,0.135188935178617,0.681931843942084,0.844408427876823,3813,70.3907684238133,59.9527930763179,50.4065040650407,50.4065040650407
"observed","misc_abund_short","2_jacknife_10",FALSE,9,61,-99,"57358",0.114754098360656,0.8883473637572,3341,0.132803057385561,0.724611551217797,0.844903950583763,3852,51.6614745586708,38.8110072689512,65.1869158878505,65.1869158878505
"observed","misc_abund_short","2_jacknife_2",FALSE,9,61,-99,"57358",0.19672131147541,0.829370179948586,2041,0.130041650953989,0.708355594367304,0.85303265940902,3869,90.7211165675885,87.076764021711,43.3186869992246,43.3186869992246
"observed","misc_abund_short","2_jacknife_3",FALSE,6,61,-99,"13702",0.0983606557377049,0.925029285435377,83,0.133793318115792,0.669924790589081,0.83904879935402,3476,39.5281933256617,25.8055235903337,82.5949367088608,82.5949367088608
"observed","misc_abund_short","2_jacknife_4",FALSE,7,61,-99,"26226",0.0983606557377049,0.941105769230769,910,0.134641804824823,0.708255305824403,0.834564254062038,3711,35.5699272433306,21.6653193209378,89.4637563998922,89.4637563998922
"observed","misc_abund_short","2_jacknife_5",FALSE,8,61,-99,"41635",0.0983606557377049,0.928937478647079,2716,0.129896791612216,0.688619670963549,0.840954274353877,3801,36.1220731386477,21.7837411207577,83.7148118916075,83.6885030255196
"observed","misc_abund_short","2_jacknife_6",FALSE,9,61,-99,"57358",0.163934426229508,0.880608661724542,1166,0.129741787495528,0.734851872249395,0.853828306264501,3895,82.4646983311938,74.8395378690629,60.1026957637997,60.1026957637997
"observed","misc_abund_short","2_jacknife_7",FALSE,6,61,-99,"13702",0.131147540983607,0.908262275801235,170,0.131923506616743,0.575460128259075,0.82560553633218,3507,60.4790419161677,47.8471628172227,73.8237810094098,73.7952666096379
"observed","misc_abund_short","2_jacknife_8",FALSE,7,61,-99,"26226",0.0983606557377049,0.917204301075269,2199,0.131222558083092,0.625080659742709,0.845984598459846,3715,38.8156123822342,23.7685060565276,76.6621803499327,76.6621803499327
"observed","misc_abund_short","2_jacknife_9",FALSE,7,61,-99,"26226",0.0983606557377049,0.910302409021015,3605,0.13178503915744,0.622980046021403,0.844854881266491,3703,38.1582500675128,23.5754793410748,74.5611666216581,74.5611666216581
"observed","misc_abund_short","3_jacknife_1",FALSE,7,53,-99,"12241",0.207547169811321,0.745344304893893,2342,0.130028089422594,0.623048017098554,0.845942228335626,3419,92.9219069903481,89.4998537584089,30.1257677683533,30.1257677683533
"observed","misc_abund_short","3_jacknife_10",FALSE,7,53,-99,"12241",0.207547169811321,0.767064846416382,2208,0.132390121112424,0.554295470296056,0.84679328625977,3418,92.6857811585723,88.2679929783499,33.8502047981276,33.8502047981276
"observed","misc_abund_short","3_jacknife_2",FALSE,8,53,-99,"17674",0.226415094339623,0.676699642180594,1591,0.129586757726589,0.706293286372925,0.84851752032068,3586,94.1996653653095,91.9129949804797,19.994422755159,19.994422755159
"observed","misc_abund_short","3_jacknife_3",FALSE,8,53,-99,"17674",0.264150943396226,0.693667157584683,988,0.1325360479418,0.681740647932654,0.830559757942511,3605,96.7267683772538,95.7281553398058,22.1914008321775,22.1914008321775
"observed","misc_abund_short","3_jacknife_4",FALSE,7,53,-99,"12241",0.264150943396226,0.65846286701209,2792,0.133442229481965,0.68271084982399,0.841269790259007,3396,96.2014134275618,94.8763250883392,19.9646643109541,19.9057714958775
"observed","misc_abund_short","3_jacknife_5",FALSE,9,53,-99,"22380",0.30188679245283,0.644240837696335,2209,0.133385959209786,0.603635770346003,0.822368421052632,3657,98.660103910309,97.9217938200711,19.1140278917145,19.1140278917145
"observed","misc_abund_short","3_jacknife_6",FALSE,7,53,-99,"12241",0.245283018867925,0.694323144104803,2691,0.131605432546617,0.65386149738046,0.839185775505601,3412,95.7502930832356,94.284876905041,23.094958968347,23.0656506447831
"observed","misc_abund_short","3_jacknife_7",FALSE,9,53,-99,"22380",0.188679245283019,0.806204379562044,640,0.129938229098124,0.637172827347614,0.837914691943128,3699,90.7272235739389,85.8880778588808,42.0654230873209,42.0654230873209
"observed","misc_abund_short","3_jacknife_8",FALSE,9,53,-99,"22380",0.283018867924528,0.663692136084774,3166,0.129583871801499,0.681883223113559,0.84652862362972,3650,98.4657534246575,97.9452054794521,20.1369863013699,20.1369863013699
"observed","misc_abund_short","3_jacknife_9",FALSE,7,53,-99,"12241",0.283018867924528,0.63129357087529,1105,0.135394367833259,0.696725188246428,0.830815709969788,3411,97.0683084139549,95.9542656112577,16.3881559659924,16.3881559659924
"observed","misc_abund_short","5_jacknife_1",FALSE,7,37,-99,"1824",0.0810810810810811,0.831730769230769,1183,0.130866842452208,0.595403851609362,0.825435323383085,1640,29.3292682926829,11.1585365853659,51.219512195122,51.1585365853659
"observed","misc_abund_short","5_jacknife_10",FALSE,7,37,-99,"1824",0.0810810810810811,0.924119241192412,1213,0.133123197639327,0.505622260083912,0.824286006836691,1612,25.2481389578164,9.24317617866005,82.1960297766749,81.9478908188586
"observed","misc_abund_short","5_jacknife_2",FALSE,7,37,-99,"1824",0.162162162162162,-0.316239316239316,452,0.131559509820379,0.501802440792117,0.823592751173188,1610,82.4223602484472,67.2049689440994,6.39751552795031,6.27329192546584
"observed","misc_abund_short","5_jacknife_3",FALSE,7,37,-99,"1824",0.108108108108108,0.819188191881919,95,0.136157235971247,0.57822442642589,0.823033707865169,1613,46.5592064476131,24.0545567265964,48.7290762554247,48.4810911345319
"observed","misc_abund_short","5_jacknife_4",FALSE,8,37,-99,"2104",0.0540540540540541,0.958279009126467,132,0.133744824530579,0.637339470252232,0.818066961465572,1769,9.94912379875636,1.75240248728095,96.4386659129452,96.0994912379876
"observed","misc_abund_short","5_jacknife_5",FALSE,8,37,-99,"2104",0.0540540540540541,0.95230998509687,1511,0.132566887737374,0.652726551997648,0.825850340136054,1789,10.0614868641699,1.73281162660704,94.8015651201789,94.5779765231973
"observed","misc_abund_short","5_jacknife_6",FALSE,8,37,-99,"2104",0.0810810810810811,0.920556107249255,45,0.13038493038493,0.636081704461116,0.834625322997416,1815,29.9173553719008,10.4132231404959,82.8650137741047,82.6446280991736
"observed","misc_abund_short","5_jacknife_7",FALSE,7,37,-99,"1824",0.0810810810810811,0.893939393939394,138,0.132809515108224,0.558030818839524,0.824601366742597,1627,28.6416717885679,9.95697602950215,72.4646588813768,72.3417332513829
