"rank","abund","site","dat","singletons","sim","source"
1,1,"11003000009","fia_small",FALSE,-99,"observed"
2,1,"11003000009","fia_small",FALSE,-99,"observed"
3,1,"11003000009","fia_small",FALSE,-99,"observed"
1,1,"11003000028","fia_small",FALSE,-99,"observed"
1,1,"11003000051","fia_small",FALSE,-99,"observed"
1,1,"11003000074","fia_small",FALSE,-99,"observed"
2,1,"11003000074","fia_small",FALSE,-99,"observed"
3,1,"11003000074","fia_small",FALSE,-99,"observed"
1,1,"11003000079","fia_small",FALSE,-99,"observed"
2,1,"11003000079","fia_small",FALSE,-99,"observed"
3,1,"11003000079","fia_small",FALSE,-99,"observed"
4,1,"11003000079","fia_small",FALSE,-99,"observed"
1,1,"11003000199","fia_small",FALSE,-99,"observed"
1,1,"11003000248","fia_small",FALSE,-99,"observed"
2,1,"11003000248","fia_small",FALSE,-99,"observed"
3,1,"11003000248","fia_small",FALSE,-99,"observed"
1,1,"11039000020","fia_small",FALSE,-99,"observed"
1,1,"11039000030","fia_small",FALSE,-99,"observed"
2,1,"11039000030","fia_small",FALSE,-99,"observed"
3,1,"11039000030","fia_small",FALSE,-99,"observed"
1,1,"11039000050","fia_small",FALSE,-99,"observed"
2,1,"11039000050","fia_small",FALSE,-99,"observed"
1,1,"11039000087","fia_small",FALSE,-99,"observed"
1,1,"11039000166","fia_small",FALSE,-99,"observed"
1,1,"11039000169","fia_small",FALSE,-99,"observed"
2,1,"11039000169","fia_small",FALSE,-99,"observed"
3,1,"11039000169","fia_small",FALSE,-99,"observed"
1,1,"11053000038","fia_small",FALSE,-99,"observed"
2,1,"11053000038","fia_small",FALSE,-99,"observed"
3,1,"11053000038","fia_small",FALSE,-99,"observed"
1,1,"11053000068","fia_small",FALSE,-99,"observed"
2,1,"11053000068","fia_small",FALSE,-99,"observed"
3,1,"11053000068","fia_small",FALSE,-99,"observed"
4,1,"11053000068","fia_small",FALSE,-99,"observed"
5,1,"11053000068","fia_small",FALSE,-99,"observed"
1,1,"11053000079","fia_small",FALSE,-99,"observed"
2,1,"11053000079","fia_small",FALSE,-99,"observed"
1,1,"11053000080","fia_small",FALSE,-99,"observed"
1,1,"11053000082","fia_small",FALSE,-99,"observed"
2,1,"11053000082","fia_small",FALSE,-99,"observed"
3,1,"11053000082","fia_small",FALSE,-99,"observed"
4,1,"11053000082","fia_small",FALSE,-99,"observed"
1,1,"11053000088","fia_small",FALSE,-99,"observed"
2,1,"11053000088","fia_small",FALSE,-99,"observed"
1,1,"11097000023","fia_small",FALSE,-99,"observed"
2,1,"11097000023","fia_small",FALSE,-99,"observed"
1,1,"11097000029","fia_small",FALSE,-99,"observed"
1,1,"11097000077","fia_small",FALSE,-99,"observed"
