"site","year","species","abund"
"1983_1_control_summer",1983,"boer torr",6
"1983_1_control_summer",1983,"bout aris",721
"1983_1_control_summer",1983,"chen frem",6
"1983_1_control_summer",1983,"erio aber",373
"1983_1_control_summer",1983,"euph fend",3
"1983_1_control_summer",1983,"moll cerv",7
"1983_1_control_summer",1983,"pani ariz",7
"1983_1_control_summer",1983,"pect papp",15
"1983_1_control_summer",1983,"tide lanu",51
"1983_2_control_summer",1983,"boer torr",22
"1983_2_control_summer",1983,"bout aris",374
"1983_2_control_summer",1983,"erio aber",142
"1983_2_control_summer",1983,"euph fend",4
"1983_2_control_summer",1983,"moll cerv",8
"1983_2_control_summer",1983,"moll vert",1
"1983_2_control_summer",1983,"pani ariz",18
"1983_2_control_summer",1983,"pect papp",3
"1983_2_control_summer",1983,"tide lanu",37
"1983_3_exclosure_summer",1983,"aris adsc",57
"1983_3_exclosure_summer",1983,"bail mult",1
"1983_3_exclosure_summer",1983,"boer torr",10
"1983_3_exclosure_summer",1983,"bout aris",635
"1983_3_exclosure_summer",1983,"chen frem",9
"1983_3_exclosure_summer",1983,"erio aber",197
"1983_3_exclosure_summer",1983,"euph fend",4
"1983_3_exclosure_summer",1983,"pani ariz",16
"1983_3_exclosure_summer",1983,"pect papp",4
"1983_3_exclosure_summer",1983,"tide lanu",18
"1983_4_control_summer",1983,"aris adsc",25
"1983_4_control_summer",1983,"boer torr",11
"1983_4_control_summer",1983,"bout aris",433
"1983_4_control_summer",1983,"chen frem",3
"1983_4_control_summer",1983,"erio aber",338
"1983_4_control_summer",1983,"pani ariz",1
"1983_4_control_summer",1983,"pect papp",2
"1983_4_control_summer",1983,"tide lanu",6
"1983_6_control_summer",1983,"aris adsc",11
"1983_6_control_summer",1983,"bail mult",2
"1983_6_control_summer",1983,"boer torr",12
"1983_6_control_summer",1983,"bout aris",375
"1983_6_control_summer",1983,"chen frem",12
"1983_6_control_summer",1983,"erio aber",250
"1983_6_control_summer",1983,"euph fend",2
"1983_6_control_summer",1983,"moll cerv",1
"1983_6_control_summer",1983,"pani ariz",14
"1983_6_control_summer",1983,"tide lanu",32
"1983_7_removal_summer",1983,"bail mult",2
"1983_7_removal_summer",1983,"boer torr",4
"1983_7_removal_summer",1983,"bout aris",15
"1983_7_removal_summer",1983,"chen frem",4
"1983_7_removal_summer",1983,"erio aber",81
"1983_7_removal_summer",1983,"moll vert",5
"1983_7_removal_summer",1983,"pani ariz",1
"1983_7_removal_summer",1983,"tide lanu",4
"1983_8_control_summer",1983,"aris adsc",9
"1983_8_control_summer",1983,"boer torr",69
"1983_8_control_summer",1983,"bout aris",283
"1983_8_control_summer",1983,"chen frem",2
"1983_8_control_summer",1983,"erio aber",187
"1983_8_control_summer",1983,"euph fend",7
"1983_8_control_summer",1983,"pani ariz",10
"1983_8_control_summer",1983,"pect papp",16
"1983_8_control_summer",1983,"tide lanu",21
"1983_9_control_summer",1983,"aris adsc",6
"1983_9_control_summer",1983,"boer torr",15
"1983_9_control_summer",1983,"bout aris",187
"1983_9_control_summer",1983,"erio aber",228
"1983_9_control_summer",1983,"euph fend",3
"1983_9_control_summer",1983,"pani ariz",9
"1983_9_control_summer",1983,"pect papp",10
"1983_9_control_summer",1983,"tide lanu",14
"1983_10_removal_summer",1983,"aris adsc",71
"1983_10_removal_summer",1983,"bail mult",2
"1983_10_removal_summer",1983,"boer torr",22
"1983_10_removal_summer",1983,"bout aris",886
"1983_10_removal_summer",1983,"chen frem",2
"1983_10_removal_summer",1983,"erio aber",180
"1983_10_removal_summer",1983,"euph fend",1
"1983_10_removal_summer",1983,"moll vert",11
"1983_10_removal_summer",1983,"pani ariz",6
"1983_10_removal_summer",1983,"pect papp",4
"1983_10_removal_summer",1983,"tide lanu",15
"1983_11_control_summer",1983,"boer torr",34
"1983_11_control_summer",1983,"bout aris",548
"1983_11_control_summer",1983,"chen frem",6
"1983_11_control_summer",1983,"erio aber",65
"1983_11_control_summer",1983,"pani ariz",12
"1983_11_control_summer",1983,"pect papp",14
"1983_11_control_summer",1983,"tide lanu",29
"1983_12_control_summer",1983,"aris adsc",5
"1983_12_control_summer",1983,"boer torr",66
"1983_12_control_summer",1983,"bout aris",596
"1983_12_control_summer",1983,"chen frem",1
"1983_12_control_summer",1983,"erio aber",144
"1983_12_control_summer",1983,"euph fend",2
"1983_12_control_summer",1983,"pani ariz",4
"1983_12_control_summer",1983,"pect papp",3
"1983_12_control_summer",1983,"tide lanu",51
"1983_13_control_summer",1983,"boer torr",8
"1983_13_control_summer",1983,"bout aris",97
"1983_13_control_summer",1983,"chen frem",17
"1983_13_control_summer",1983,"erio aber",230
"1983_13_control_summer",1983,"euph fend",1
"1983_13_control_summer",1983,"pani ariz",9
"1983_13_control_summer",1983,"pect papp",5
"1983_13_control_summer",1983,"tide lanu",10
"1983_14_control_summer",1983,"aris adsc",1
"1983_14_control_summer",1983,"boer torr",28
"1983_14_control_summer",1983,"bout aris",26
"1983_14_control_summer",1983,"chen frem",10
"1983_14_control_summer",1983,"erio aber",214
"1983_14_control_summer",1983,"pani ariz",6
"1983_14_control_summer",1983,"tide lanu",3
"1983_15_exclosure_summer",1983,"bail mult",1
"1983_15_exclosure_summer",1983,"bout aris",3
"1983_15_exclosure_summer",1983,"chen frem",18
"1983_15_exclosure_summer",1983,"erio aber",146
"1983_15_exclosure_summer",1983,"tide lanu",1
"1983_16_removal_summer",1983,"aris adsc",2
"1983_16_removal_summer",1983,"boer torr",5
"1983_16_removal_summer",1983,"bout aris",166
"1983_16_removal_summer",1983,"chen frem",4
"1983_16_removal_summer",1983,"erio aber",155
"1983_16_removal_summer",1983,"euph fend",1
"1983_16_removal_summer",1983,"moll vert",1
"1983_16_removal_summer",1983,"pani ariz",1
"1983_16_removal_summer",1983,"pect papp",9
"1983_16_removal_summer",1983,"tide lanu",15
"1983_17_control_summer",1983,"bail mult",2
"1983_17_control_summer",1983,"boer torr",10
"1983_17_control_summer",1983,"bout aris",74
"1983_17_control_summer",1983,"chen frem",11
"1983_17_control_summer",1983,"erio aber",90
"1983_17_control_summer",1983,"euph fend",1
"1983_17_control_summer",1983,"pani ariz",1
"1983_17_control_summer",1983,"pect papp",2
"1983_17_control_summer",1983,"tide lanu",9
"1983_18_control_summer",1983,"chen frem",28
"1983_18_control_summer",1983,"erio aber",123
"1983_19_exclosure_summer",1983,"aris adsc",4
"1983_19_exclosure_summer",1983,"boer torr",20
"1983_19_exclosure_summer",1983,"bout aris",134
"1983_19_exclosure_summer",1983,"chen frem",10
"1983_19_exclosure_summer",1983,"erio aber",149
"1983_19_exclosure_summer",1983,"pect papp",1
"1983_19_exclosure_summer",1983,"tide lanu",6
"1983_20_control_summer",1983,"boer torr",10
"1983_20_control_summer",1983,"bout aris",7
"1983_20_control_summer",1983,"erio aber",132
"1983_20_control_summer",1983,"pani ariz",3
"1983_20_control_summer",1983,"tide lanu",2
"1983_21_exclosure_summer",1983,"aris adsc",34
"1983_21_exclosure_summer",1983,"bail mult",2
"1983_21_exclosure_summer",1983,"boer torr",36
"1983_21_exclosure_summer",1983,"bout aris",559
"1983_21_exclosure_summer",1983,"chen frem",6
"1983_21_exclosure_summer",1983,"erio aber",152
"1983_21_exclosure_summer",1983,"euph fend",1
"1983_21_exclosure_summer",1983,"moll vert",17
"1983_21_exclosure_summer",1983,"pani ariz",4
"1983_21_exclosure_summer",1983,"pect papp",7
"1983_21_exclosure_summer",1983,"tide lanu",4
"1983_22_control_summer",1983,"boer torr",36
"1983_22_control_summer",1983,"bout aris",241
"1983_22_control_summer",1983,"erio aber",113
"1983_22_control_summer",1983,"euph fend",1
"1983_22_control_summer",1983,"pani ariz",4
"1983_22_control_summer",1983,"pect papp",4
"1983_22_control_summer",1983,"tide lanu",23
"1983_23_removal_summer",1983,"aris adsc",19
"1983_23_removal_summer",1983,"bail mult",3
"1983_23_removal_summer",1983,"boer torr",48
"1983_23_removal_summer",1983,"bout aris",544
"1983_23_removal_summer",1983,"chen frem",11
"1983_23_removal_summer",1983,"erio aber",86
"1983_23_removal_summer",1983,"euph fend",1
"1983_23_removal_summer",1983,"pani ariz",4
"1983_23_removal_summer",1983,"pect papp",21
"1983_23_removal_summer",1983,"tide lanu",11
"1983_1_control_summer",1983,"erig dive",7
"1983_1_control_summer",1983,"erio aber",1728
"1983_1_control_summer",1983,"erod cicu",2
"1983_2_control_summer",1983,"erig dive",2
"1983_2_control_summer",1983,"erio aber",908
"1983_2_control_summer",1983,"erod cicu",5
"1983_3_exclosure_summer",1983,"bail mult",2
"1983_3_exclosure_summer",1983,"erig dive",10
"1983_3_exclosure_summer",1983,"erio aber",947
"1983_3_exclosure_summer",1983,"erod cicu",2
"1983_4_control_summer",1983,"bail mult",5
"1983_4_control_summer",1983,"erio aber",1136
"1983_6_control_summer",1983,"bail mult",1
"1983_6_control_summer",1983,"erig dive",11
"1983_6_control_summer",1983,"erio aber",795
"1983_7_removal_summer",1983,"bail mult",6
"1983_7_removal_summer",1983,"erio aber",669
"1983_7_removal_summer",1983,"erod cicu",373
"1983_7_removal_summer",1983,"hapl grac",29
"1983_8_control_summer",1983,"erig dive",19
"1983_8_control_summer",1983,"erio aber",583
"1983_9_control_summer",1983,"bail mult",2
"1983_9_control_summer",1983,"erig dive",1
"1983_9_control_summer",1983,"erio aber",595
"1983_10_removal_summer",1983,"bail mult",9
"1983_10_removal_summer",1983,"erig dive",3
"1983_10_removal_summer",1983,"erio aber",1535
"1983_10_removal_summer",1983,"erod cicu",13
"1983_10_removal_summer",1983,"hapl grac",12
"1983_11_control_summer",1983,"bail mult",10
"1983_11_control_summer",1983,"erio aber",437
"1983_11_control_summer",1983,"hapl grac",1
"1983_12_control_summer",1983,"erio aber",703
"1983_12_control_summer",1983,"erod cicu",1
"1983_13_control_summer",1983,"erig dive",4
"1983_13_control_summer",1983,"erio aber",782
"1983_13_control_summer",1983,"erod cicu",1
"1983_14_control_summer",1983,"bail mult",1
"1983_14_control_summer",1983,"erio aber",845
"1983_15_exclosure_summer",1983,"bail mult",3
"1983_15_exclosure_summer",1983,"erio aber",430
"1983_16_removal_summer",1983,"bail mult",1
"1983_16_removal_summer",1983,"erio aber",608
"1983_16_removal_summer",1983,"erod cicu",40
"1983_16_removal_summer",1983,"hapl grac",1
"1983_17_control_summer",1983,"bail mult",4
"1983_17_control_summer",1983,"erio aber",486
"1983_17_control_summer",1983,"hapl grac",1
"1983_18_control_summer",1983,"bail mult",2
"1983_18_control_summer",1983,"erio aber",241
"1983_18_control_summer",1983,"erod cicu",1
"1983_19_exclosure_summer",1983,"erio aber",685
"1983_19_exclosure_summer",1983,"erod cicu",8
"1983_20_control_summer",1983,"bail mult",1
"1983_20_control_summer",1983,"erio aber",296
"1983_21_exclosure_summer",1983,"bail mult",3
"1983_21_exclosure_summer",1983,"erig dive",4
"1983_21_exclosure_summer",1983,"erio aber",967
"1983_21_exclosure_summer",1983,"erod cicu",3
"1983_21_exclosure_summer",1983,"hapl grac",14
"1983_22_control_summer",1983,"bail mult",3
"1983_22_control_summer",1983,"erio aber",822
"1983_22_control_summer",1983,"hapl grac",1
"1983_23_removal_summer",1983,"bail mult",6
"1983_23_removal_summer",1983,"erig dive",2
"1983_23_removal_summer",1983,"erio aber",534
"1983_23_removal_summer",1983,"hapl grac",1
"1984_1_control_summer",1984,"bail mult",5
"1984_1_control_summer",1984,"bout aris",95
"1984_1_control_summer",1984,"erio aber",2
"1984_1_control_summer",1984,"euph fend",12
"1984_1_control_summer",1984,"moll cerv",154
"1984_1_control_summer",1984,"pani ariz",12
"1984_1_control_summer",1984,"pect papp",44
"1984_1_control_summer",1984,"tide lanu",12
"1984_2_control_summer",1984,"aris adsc",1
"1984_2_control_summer",1984,"boer torr",2
"1984_2_control_summer",1984,"bout aris",25
"1984_2_control_summer",1984,"euph fend",9
"1984_2_control_summer",1984,"moll cerv",186
"1984_2_control_summer",1984,"pani ariz",6
